observation_id,source_sheet,campaign_year,normalized_segment_label,borehole_depth_m,primary_cell_id,centroid_x_m,centroid_y_m,centroid_z_m,observed_log10_permeability_m2,predicted_log10_permeability_m2,log10_residual_pred_minus_obs,abs_log10_residual,objective_weight,configured_scalar_feasibility_status,residual_band,residual_sign,conflict_class,recommended_next_action
perm_0198,2024,2024,BCD-A33,1.01,4650,0.665476486551289,-1.953154358070415,0.0,-20.0,-18.610924374808175,1.389075625191822,1.389075625191822,1.0,observed_inside_configured_scalar_range,abs_1_to_2_log10,overpredicts_observation,large_same_support_observation_conflict,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0037,2024_CT,2024,BCD-A34,1.7,7663,,,,-20.30102999566398,-19.07008544312774,1.23094455253624,1.23094455253624,0.0,observed_inside_configured_scalar_range,abs_1_to_2_log10,overpredicts_observation,,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0012,2024_OT,2024,BCD-A33,0.25,4096,0.441183901061646,-1.3290266963222168,0.0,-16.69897000433602,-17.897940008672037,-1.1989700043360187,1.1989700043360187,0.5,observed_inside_configured_scalar_range,abs_1_to_2_log10,underpredicts_observation,large_same_support_observation_conflict,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0178,2024,2024,BCD-A33,0.25,4096,0.441183901061646,-1.3290266963222168,0.0,-16.69897000433602,-17.897940008672037,-1.1989700043360187,1.1989700043360187,0.5,observed_inside_configured_scalar_range,abs_1_to_2_log10,underpredicts_observation,large_same_support_observation_conflict,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0193,2024,2024,BCD-A33,0.31,4096,0.441183901061646,-1.3290266963222168,0.0,-19.096910013008056,-17.897940008672037,1.1989700043360187,1.1989700043360187,1.0,observed_inside_configured_scalar_range,abs_1_to_2_log10,overpredicts_observation,large_same_support_observation_conflict,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0046,2024_CT,2024,BCD-A35,1.01,5763,,,,-20.0,-18.898010227571955,1.1019897724280447,1.1019897724280447,0.0,observed_inside_configured_scalar_range,abs_1_to_2_log10,overpredicts_observation,,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0197,2024,2024,BCD-A33,0.87,4649,0.6575143761188703,-1.8834208473010434,0.0,-19.39794000867204,-18.39794000867204,1.0000000000000036,1.0000000000000036,1.0,observed_inside_configured_scalar_range,abs_1_to_2_log10,overpredicts_observation,large_same_support_observation_conflict,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0000,2024_OT,2024,BCD-A32,0.17,136,-1.2619525926167616,-0.4218463524331108,0.0,-15.30102999566398,-16.30102999566398,-1.0000000000000018,1.0000000000000018,0.5,observed_inside_configured_scalar_range,abs_1_to_2_log10,underpredicts_observation,large_same_support_observation_conflict,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0150,2024,2024,BCD-A32,0.17,136,-1.2619525926167616,-0.4218463524331108,0.0,-15.30102999566398,-16.30102999566398,-1.0000000000000018,1.0000000000000018,0.5,observed_inside_configured_scalar_range,abs_1_to_2_log10,underpredicts_observation,large_same_support_observation_conflict,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0018,2024_OT,2024,BCD-A33,0.85,4649,0.6575143761188703,-1.8834208473010434,0.0,-17.397940008672037,-18.39794000867204,-1.0,1.0,0.5,observed_inside_configured_scalar_range,abs_1_to_2_log10,underpredicts_observation,large_same_support_observation_conflict,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0162,2024,2024,BCD-A32,0.15,136,-1.2619525926167616,-0.4218463524331108,0.0,-17.30102999566398,-16.30102999566398,1.0,1.0,1.0,observed_inside_configured_scalar_range,abs_1_to_2_log10,overpredicts_observation,large_same_support_observation_conflict,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0184,2024,2024,BCD-A33,0.85,4649,0.6575143761188703,-1.8834208473010434,0.0,-17.397940008672037,-18.39794000867204,-1.0,1.0,0.5,observed_inside_configured_scalar_range,abs_1_to_2_log10,underpredicts_observation,large_same_support_observation_conflict,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0039,2024_CT,2024,BCD-A34,3.3,5631,,,,-20.522878745280337,-19.85196283200121,0.6709159132791278,0.6709159132791278,0.0,observed_inside_configured_scalar_range,abs_0p5_to_1_log10,overpredicts_observation,,keep_as_noisy_direct_constraint_with_explicit_sigma
perm_0034,2024_CT,2024,BCD-A34,1.05,7663,,,,-19.69897000433602,-19.07008544312774,0.6288845612082774,0.6288845612082774,0.0,observed_inside_configured_scalar_range,abs_0p5_to_1_log10,overpredicts_observation,,keep_as_noisy_direct_constraint_with_explicit_sigma
perm_0040,2024_CT,2024,BCD-A35,0.17,5763,,,,-19.39794000867204,-18.898010227571955,0.4999297811000858,0.4999297811000858,0.0,observed_inside_configured_scalar_range,abs_lt_0p5_log10,overpredicts_observation,,locally_consistent_under_current_log10_sigma
perm_0045,2024_CT,2024,BCD-A35,0.87,5763,,,,-19.39794000867204,-18.898010227571955,0.4999297811000858,0.4999297811000858,0.0,observed_inside_configured_scalar_range,abs_lt_0p5_log10,overpredicts_observation,,locally_consistent_under_current_log10_sigma
perm_0026,2024_CT,2024,BCD-A34,0.25,5828,,,,-19.522878745280337,-19.1568252199496,0.3660535253307415,0.3660535253307415,0.0,observed_inside_configured_scalar_range,abs_lt_0p5_log10,overpredicts_observation,,locally_consistent_under_current_log10_sigma
perm_0003,2024_OT,2024,BCD-A32,0.59,3542,-1.6384673418230369,-0.5549497333213699,0.0,-13.69897000433602,-13.34948500216801,0.3494850021680111,0.3494850021680111,0.5,observed_inside_configured_scalar_range,abs_lt_0p5_log10,overpredicts_observation,low_conflict_or_singleton,locally_consistent_under_current_log10_sigma
perm_0153,2024,2024,BCD-A32,0.59,3542,-1.6384673418230369,-0.5549497333213699,0.0,-13.69897000433602,-13.34948500216801,0.3494850021680111,0.3494850021680111,0.5,observed_inside_configured_scalar_range,abs_lt_0p5_log10,overpredicts_observation,low_conflict_or_singleton,locally_consistent_under_current_log10_sigma
perm_0166,2024,2024,BCD-A32,0.55,3542,-1.6384673418230369,-0.5549497333213699,0.0,-13.0,-13.34948500216801,-0.3494850021680094,0.3494850021680094,1.0,observed_inside_configured_scalar_range,abs_lt_0p5_log10,underpredicts_observation,low_conflict_or_singleton,locally_consistent_under_current_log10_sigma
perm_0035,2024_CT,2024,BCD-A34,1.15,7663,,,,-19.39794000867204,-19.07008544312774,0.3278545655442997,0.3278545655442997,0.0,observed_inside_configured_scalar_range,abs_lt_0p5_log10,overpredicts_observation,,locally_consistent_under_current_log10_sigma
perm_0048,2024_CT,2024,BCD-A35,1.29,5763,,,,-19.22184874961636,-18.898010227571955,0.3238385220444044,0.3238385220444044,0.0,observed_inside_configured_scalar_range,abs_lt_0p5_log10,overpredicts_observation,,locally_consistent_under_current_log10_sigma
