run_id,run_kind,label_group,row_count,fitted_bias_fraction,raw_weighted_bias_fraction,observed_theta_mean,predicted_theta_mean
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,NMR seasonal | 4D,5,0.04155441401537948,0.04155441401537948,0.11717910081535166,0.07705634960229954
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,NMR seasonal | 4E,5,0.056381822817940554,0.056381822817940554,0.11164098656910655,0.055259163751166004
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,NMR seasonal | 4F,5,0.07576160779290744,0.07576160779290744,0.12895223067350797,0.053208483243808315
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,NMR seasonal | 4G,5,0.07235724286556677,0.07235724286556677,0.12556283647090566,0.05320559360533892
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,NMR seasonal | 4H,5,0.06726589826880865,0.06726589826880865,0.1223882986985233,0.05531698925945326
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,NMR seasonal | 4I,5,0.07091807280301636,0.07091807280301636,0.1249263844989508,0.054288721587493295
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,NMR seasonal | 4J,8,0.023760473094022763,0.023760473094022763,0.07729376871719223,0.053533295623169476
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,NMR seasonal | 4K,8,0.05890860602517071,0.05890860602517071,0.11401047442260642,0.055904822884500424
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,NMR seasonal | 4L,8,0.03155441805726915,0.03155441805726915,0.08759295153312814,0.0549364618757803
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,NMR seasonal | 4M,8,0.056792071407022214,0.056792071407022214,0.11239079343580044,0.05513101241105942
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,NMR seasonal | 4N,5,0.03887081785168413,0.03887081785168413,0.09653728054241559,0.055474258485601315
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,NMR seasonal | 4P,5,0.03971152210254937,0.03971152210254937,0.09803444372219518,0.055563819664851244
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,NMR seasonal | 4Q,5,0.07180037999806374,0.07180037999806374,0.11816400130095821,0.055029306473585914
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,NMR seasonal | 4R,5,0.02532486020819914,0.02532486020819914,0.08542143230590786,0.060096572097708724
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,NMR seasonal | 4S,5,0.06241680290442527,0.06241680290442527,0.11308461433025534,0.053544367789677395
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,NMR weekly | 4E,84,0.04817282185854845,0.04817282185854845,0.10652978672888767,0.05835696487033924
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,NMR weekly | 4S,21,0.06811999112202688,0.06811999112202688,0.12003813664148744,0.05191814551946055
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,NMR seasonal | 4D,5,0.04155457012502752,0.04155457012502752,0.11717910081535166,0.07705619100918211
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,NMR seasonal | 4E,5,0.0563816763147635,0.0563816763147635,0.11164098656910655,0.055259310254343066
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,NMR seasonal | 4F,5,0.07576145685204175,0.07576145685204175,0.12895223067350797,0.05320863440103059
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,NMR seasonal | 4G,5,0.0723572243522502,0.0723572243522502,0.12556283647090566,0.05320561211865549
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,NMR seasonal | 4H,5,0.06726590046762913,0.06726590046762913,0.1223882986985233,0.05531698696410433
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,NMR seasonal | 4I,5,0.07091807425635921,0.07091807425635921,0.1249263844989508,0.05428872008616238
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,NMR seasonal | 4J,8,0.0237604739042727,0.0237604739042727,0.07729376871719223,0.05353329481291954
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,NMR seasonal | 4K,8,0.058908607047884816,0.058908607047884816,0.11401047442260642,0.05590482184566195
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,NMR seasonal | 4L,8,0.03155441908630641,0.03155441908630641,0.08759295153312814,0.05493646080869484
