run_id,run_kind,offset_fraction,active_nmr_rows,nmr_offset_objective,nmr_offset_rmse_normalized_residual,direct_permeability_objective,combined_offset_objective,corrected_rows_above_fixed_phi,corrected_negative_free_water_rows,corrected_nonphysical_rows,combined_offset_rank
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,0.04,192,523.1577825020343,2.3344293166416907,269.9101487793646,793.0679312813988,10,1,11,19.0
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,0.05,192,396.67601291778783,2.0327424335677544,269.9101487793646,666.5861616971524,2,1,3,29.0
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,0.075,192,893.115763393044,3.050129374634931,269.9101487793646,1163.0259121724084,0,13,13,36.0
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,0.1,192,2550.4757630624044,5.15436279914728,269.9101487793646,2820.385911841769,0,47,47,44.0
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,0.0,192,2886.5493853409093,5.483449896184682,269.8354940466319,3156.3848793875413,120,0,120,15.0
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,0.005,192,2428.5963717975983,5.029699680188833,269.8354940466319,2698.4318658442303,84,0,84,15.0
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,0.01,192,2017.0801682220522,4.5838031973802105,269.8354940466319,2286.915662268684,55,0,55,15.0
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,0.015,192,1652.0007746142696,4.148293794107642,269.8354940466319,1921.8362686609016,39,0,39,15.0
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,0.02,192,1333.358190974251,3.7268147019470192,269.8354940466319,1603.193685020883,35,0,35,15.0
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,0.03,192,835.3834535975072,2.9499001635604607,269.8354940466319,1105.218947644139,12,1,13,15.0
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,0.04,192,523.1559560918196,2.334425241743626,269.8354940466319,792.9914501384515,10,1,11,15.0
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,0.05,192,396.6756984571889,2.0327416278503567,269.8354940466319,666.5111925038208,2,1,3,25.0
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,0.075,192,893.1192288064844,3.050135292092393,269.8354940466319,1162.9547228531164,0,13,13,32.0
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,0.1,192,2550.4830083498846,5.154370120293843,269.8354940466319,2820.3185023965166,0,47,47,41.0
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,0.0,192,2886.537520183335,5.483438626316192,269.83548846393245,3156.3730086472674,120,0,120,13.0
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,0.005,192,2428.5856451676186,5.0296885725820735,269.83548846393245,2698.421133631551,84,0,84,13.0
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,0.01,192,2017.0705801196675,4.583792302913226,269.83548846393245,2286.9060685836,55,0,55,13.0
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,0.015,192,1651.99232503948,4.148283185346429,269.83548846393245,1921.8278135034125,39,0,39,13.0
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,0.02,192,1333.3508799270562,3.726804484529184,269.83548846393245,1603.1863683909887,35,0,35,13.0
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,0.03,192,835.3784196055024,2.949891275548527,269.83548846393245,1105.2139080694349,12,1,13,14.0
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,0.04,192,523.1531991550046,2.334419090737129,269.83548846393245,792.9886876189371,10,1,11,14.0
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,0.05,192,396.6752185755638,2.032740398287196,269.83548846393245,666.5107070394963,2,1,3,24.0
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,0.075,192,893.1244415628341,3.0501441932493707,269.83548846393245,1162.9599300267666,0,13,13,33.0
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,0.1,192,2550.493913744209,5.15438113984943,269.83548846393245,2820.3294022081413,0,47,47,43.0
lower_support_loop_001_002_length_0p005m_shift_0p985,lower_support,0.0,192,2886.558478748164,5.483458533349189,269.92678633517795,3156.485265083342,120,0,120,19.0
lower_support_loop_001_002_length_0p005m_shift_0p985,lower_support,0.005,192,2428.6045921510276,5.029708192487234,269.92678633517795,2698.5313784862055,84,0,84,19.0
lower_support_loop_001_002_length_0p005m_shift_0p985,lower_support,0.01,192,2017.0875155216565,4.583811545720867,269.92678633517795,2287.0143018568347,55,0,55,19.0
lower_support_loop_001_002_length_0p005m_shift_0p985,lower_support,0.015,192,1652.0072488600488,4.1483019227501,269.92678633517795,1921.9340351952267,39,0,39,19.0
lower_support_loop_001_002_length_0p005m_shift_0p985,lower_support,0.02,192,1333.3637921662053,3.7268225297695583,269.92678633517795,1603.2905785013832,35,0,35,19.0
lower_support_loop_001_002_length_0p005m_shift_0p985,lower_support,0.03,192,835.3873086818112,2.94990697007587,269.92678633517795,1105.314095016989,12,1,13,19.0
lower_support_loop_001_002_length_0p005m_shift_0p985,lower_support,0.04,192,523.1580650684735,2.334429947074146,269.92678633517795,793.0848514036516,10,1,11,21.0
lower_support_loop_001_002_length_0p005m_shift_0p985,lower_support,0.05,192,396.67606132619267,2.0327425576007343,269.92678633517795,666.6028476613706,2,1,3,31.0
lower_support_loop_001_002_length_0p005m_shift_0p985,lower_support,0.075,192,893.115226406363,3.0501284576882357,269.92678633517795,1163.042012741541,0,13,13,37.0
lower_support_loop_001_002_length_0p005m_shift_0p985,lower_support,0.1,192,2550.474640680638,5.154361665013103,269.92678633517795,2820.401427015816,0,47,47,45.0
lower_support_loop_001_003_length_0p004m_shift_1p014,lower_support,0.0,192,2886.529691837717,5.483431190715313,269.91428213785247,3156.4439739755694,120,0,120,17.0
lower_support_loop_001_003_length_0p004m_shift_1p014,lower_support,0.005,192,2428.578567588277,5.029681243615532,269.91428213785247,2698.4928497261294,84,0,84,17.0
