run_id,run_kind,current_combined_objective,direct_permeability_objective,current_nmr_objective_from_summary,current_nmr_rmse_normalized_residual,label_bias_combined_objective,label_bias_objective,label_bias_rmse_normalized_residual,trend_anomaly_combined_objective,trend_anomaly_objective,trend_anomaly_rmse_normalized_residual,active_nmr_rows,active_nmr_label_groups,combined_active_component_count,ert_residual_mae_log10,ert_residual_rmse_log10,ert_residual_mean_log10,ert_compared_rows,ert_compared_output_times,taupe_trend_mae,taupe_trend_rmse,taupe_trend_residual_mean,taupe_compared_rows,taupe_compared_series,active_objective_rank,active_objective_normalized_loss,nmr_label_bias_rank,nmr_label_bias_normalized_loss,nmr_trend_anomaly_rank,nmr_trend_anomaly_normalized_loss,ert_mae_rank,ert_normalized_loss,taupe_mae_rank,taupe_normalized_loss,mean_rank_all_streams,mean_rank_diagnostics_only,worst_rank_all_streams,worst_rank_diagnostics_only,rank_spread_all_streams,mean_normalized_loss_all_streams,mean_normalized_loss_diagnostics_only,top10_stream_count,top10_diagnostic_stream_count,pareto_all_streams,pareto_diagnostics_only
production_sampler_round2_001_basis_003_det_l_0p0015_s_0p750,production_sampler_round,3156.361078643836,269.8191465658567,2886.541932077979,5.483442816863533,505.6385032983623,235.8193567325056,1.5673071277290442,505.6385032983623,235.8193567325056,1.5673071277290442,192,17,2,0.2541798412405426,0.2999655423119651,0.1573034389441011,162800,80,1.863203752459492,2.3542623931190136,-0.4839038491818913,1860,12,7.0,4.055942541846492e-05,18.0,0.00019698147217947994,18.0,0.00019698147217947994,10.0,0.005487454213443169,19.0,0.9036806759805331,14.4,16.25,19.0,19.0,12.0,0.18192053051275076,0.2273905232845838,2,1,False,False
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,3156.3730086472674,269.83548846393245,2886.537520183335,5.483438626316192,505.6548756199367,235.8193871560042,1.5673072288296608,505.6548756199367,235.8193871560042,1.5673072288296608,192,17,2,0.2541787814191435,0.2999645879186901,0.1573018594836681,162800,80,1.863182465347745,2.3542381137275843,-0.4838606656289798,1860,12,13.0,0.00010095539568992791,22.0,0.00033026168770115095,22.0,0.00033026168770115095,5.0,0.005433479655144748,17.0,0.9031033320767492,15.8,16.5,22.0,22.0,17.0,0.18185965810059723,0.22729933377682407,1,1,True,True
direct_fit_observation_run,direct_reference,3156.361469672924,269.8180571059851,2886.543412566939,5.483444223074789,505.6374036853721,235.81934657938703,1.5673070939891185,505.6374036853721,235.81934657938703,1.5673070939891185,192,17,2,0.2541801957739222,0.2999658616045645,0.1573039668533122,162800,80,1.8632108603748925,2.354270500140392,-0.4839182704347019,1860,12,11.0,4.2539020923809195e-05,12.0,0.00018802998318860303,12.0,0.00018802998318860303,17.0,0.005505509880730494,27.0,0.9038734551454024,15.8,17.0,27.0,27.0,16.0,0.1819595128026868,0.22743875624812754,0,0,False,False
lower_support_loop_001_003_length_0p004m_shift_1p014,lower_support,3156.4439739755694,269.91428213785247,2886.529691837717,5.483431190715313,505.73372390002,235.8194417621676,1.5673074102919031,505.73372390002,235.81944176216751,1.567307410291903,192,17,2,0.2541768884573548,0.2999628836551123,0.1572990334386558,162800,80,1.8631442996598964,2.354194582602588,-0.4837832633300303,1860,12,17.0,0.00046021932073018546,28.0,0.0009721325253370879,28.0,0.0009721325253370879,4.0,0.005337074943455159,16.0,0.9020682115082631,18.6,19.0,28.0,28.0,24.0,0.18196195416462452,0.22733738787559812,1,1,True,False
lower_support_loop_002_002_length_0p004m_shift_1p020,lower_support,3156.534153206201,270.0099953051288,2886.5241579010726,5.483425934407811,505.8294761584259,235.81948085329716,1.5673075401959815,505.8294761584259,235.81948085329716,1.5673075401959815,192,17,2,0.2541755405213823,0.2999616704000536,0.1572970171947835,162800,80,1.863117009286771,2.354163454758873,-0.4837279315155645,1860,12,20.0,0.0009167541544167805,30.0,0.0017516115734994603,30.0,0.0017516115734994603,3.0,0.005268427293206368,15.0,0.901328048599218,19.6,19.5,30.0,30.0,27.0,0.182203290638768,0.22752492475985583,1,1,True,False
broad_continuous_001_001_length_0p023m_shift_1p004,broad_continuous,3159.0596578385903,269.882098409171,2889.1775594294195,5.485945641126039,505.6988721116397,235.81677370246868,1.5672985440136735,505.6988721116397,235.81677370246868,1.5672985440136735,192,17,2,0.2540720919307705,0.2996437188924169,0.1567092999199456,162800,80,1.8547658366194848,2.3412719390186068,-0.4692618310654096,1860,12,38.0,0.013702190770423912,25.0,0.000688418707138951,25.0,0.000688418707138951,1.0,0.0,10.0,0.6748295603971219,19.8,15.25,38.0,25.0,37.0,0.13798171771636475,0.16905159945284995,2,2,True,True
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,3156.3785563886977,269.8301710605088,2886.548385328189,5.483448946344685,505.64948374098304,235.81931268047424,1.56730698133931,505.6494837409831,235.81931268047427,1.56730698133931,192,17,2,0.2541813825418108,0.2999669305323898,0.1573057323718618,162800,80,1.8632346063839675,2.3542975838121607,-0.4839664559344443,1860,12,14.0,0.0001290409891627408,20.0,0.0002863686584965639,20.0,0.00028636865849702666,18.0,0.005565949566741483,31.0,0.9045174886686709,20.6,22.25,31.0,31.0,17.0,0.18215704330831375,0.2276640438881015,0,0,False,False
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,3156.3848793875413,269.8354940466319,2886.5493853409093,5.483449896184682,505.654799947804,235.81930590117213,1.5673069588109438,505.654799947804,235.8193059011721,1.5673069588109438,192,17,2,0.2541816204484217,0.2999671448390877,0.1573060860007058,162800,80,1.8632393579378337,2.3543030032164056,-0.4839760992059378,1860,12,15.0,0.00016105134459891784,21.0,0.0003296456725495645,21.0,0.0003296456725495645,19.0,0.005578065668804816,32.0,0.9046463591650873,21.6,23.25,32.0,32.0,17.0,0.18220895350471805,0.2277209290447478,0,0,False,False
continuous_proposed_002_length_0p007m,continuous_proposed,3157.741295991051,269.8180571059851,2887.923238885066,5.484754665286872,505.6311355546908,235.81307844870568,1.5672862641651284,505.6311355546908,235.8130784487057,1.5672862641651284,192,17,2,0.254253906003333,0.2999967858600424,0.1573579740497064,162800,80,1.8632301001238376,2.354189406126595,-0.4844776132951667,1860,12,33.0,0.007027947681537672,6.0,0.0001370037555199242,6.0,0.0001370037555199242,34.0,0.009259422641838407,30.0,0.9043952709697274,21.8,19.0,34.0,34.0,28.0,0.18419132976082866,0.2284821752806514,2,2,True,True
production_sampler_round5_005_length_0p004m_shift_1p031,production_sampler_round,3156.785440082782,270.2712715334339,2886.514168549348,5.483416446193837,506.0908239994429,235.81955246600904,1.56730777817279,506.0908239994429,235.81955246600904,1.56730777817279,192,17,2,0.2541730866174347,0.2999594621131285,0.1572933378940892,162800,80,1.8630670789564647,2.35410650128536,-0.4836267271881189,1860,12,24.0,0.0021889008738301256,37.0,0.0038791349316597214,37.0,0.0038791349316597214,2.0,0.005143454932964731,14.0,0.8999738502392545,22.8,22.5,37.0,37.0,35.0,0.18301289518187375,0.22821889375888466,1,1,True,False
