run_id,run_kind,run_dir,ogs_output_count,support_cell_rows,diagnostic_rows,compared_rows,compared_output_times,outside_time_tolerance_output_times,mean_abs_time_delta_days,theta_inside_calibration_rows,ert_residual_mean_log10,ert_residual_mae_log10,ert_residual_rmse_log10,ert_residual_p50_abs_log10,ert_residual_p90_abs_log10,combined_active_objective,combined_active_component_count,direct_permeability_objective,nmr_state_objective,nmr_state_rmse,ert_mae_delta_from_reference,ert_mae_rank,combined_objective_rank
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,inversion_workflow/runs/lower_support_continuous_003_length_0p004m_shift_0p994,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573060860007058,0.2541816204484217,0.2999671448390877,0.2453253627495837,0.4381917768927257,3156.3848793875413,2,269.8354940466319,2886.5493853409093,5.483449896184682,1.4246744994839133e-06,19.0,15.0
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,inversion_workflow/runs/lower_support_loop_001_001_length_0p003m_shift_1p006,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573018594836681,0.2541787814191435,0.2999645879186901,0.2453246132712816,0.4381920199401947,3156.3730086472674,2,269.83548846393245,2886.537520183335,5.483438626316192,-1.4143547786837907e-06,5.0,13.0
lower_support_loop_001_002_length_0p005m_shift_0p985,lower_support,inversion_workflow/runs/lower_support_loop_001_002_length_0p005m_shift_0p985,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573092802937796,0.254183772463402,0.2999690837186402,0.2453420736833009,0.438191590068828,3156.485265083342,2,269.92678633517795,2886.558478748164,5.483458533349189,3.576689479811712e-06,22.0,19.0
lower_support_loop_001_003_length_0p004m_shift_1p014,lower_support,inversion_workflow/runs/lower_support_loop_001_003_length_0p004m_shift_1p014,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1572990334386558,0.2541768884573548,0.2999628836551123,0.2453247124463378,0.4381921798317056,3156.4439739755694,2,269.91428213785247,2886.529691837717,5.483431190715313,-3.3073165673913607e-06,4.0,17.0
lower_support_loop_002_001_length_0p004m_shift_0p992,lower_support,inversion_workflow/runs/lower_support_loop_002_001_length_0p004m_shift_0p992,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573067431451206,0.2541820627248812,0.2999675432627688,0.2453288132044977,0.4381917386796492,3156.399181991058,2,269.84793480410434,2886.551247186954,5.483451664617592,1.8669509589952504e-06,20.0,16.0
lower_support_loop_002_002_length_0p004m_shift_1p020,lower_support,inversion_workflow/runs/lower_support_loop_002_002_length_0p004m_shift_1p020,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1572970171947835,0.2541755405213823,0.2999616704000536,0.2453220341643174,0.4381922926290662,3156.534153206201,2,270.0099953051288,2886.5241579010726,5.483425934407811,-4.655252539897958e-06,3.0,20.0
lower_support_loop_002_003_length_0p006m_shift_0p975,lower_support,inversion_workflow/runs/lower_support_loop_002_003_length_0p006m_shift_0p975,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573130771668535,0.2541863378887519,0.2999713955260339,0.2453509266889222,0.4381980692614644,3156.704034323091,2,270.13460474436965,2886.5694295787216,5.483468934726601,6.142114829688072e-06,23.0,21.0
optimizer_proposed_001_length_0p019m_shift_1p125,optimizer_proposed,inversion_workflow/runs/optimizer_proposed_001_length_0p019m_shift_1p125,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1576778011505678,0.2547871673143442,0.3002451214609197,0.2460537335325516,0.4372998408752764,3172.692798165477,2,277.42946417328494,2895.263333992192,5.491720410073574,0.0006069715404219966,53.0,59.0
optimizer_proposed_002_length_0p019m_shift_0p875,optimizer_proposed,inversion_workflow/runs/optimizer_proposed_002_length_0p019m_shift_0p875,83,2035,162800,162800,80,3,1.350546630968318,162800,0.157819224502768,0.2548318226333746,0.3003066276106138,0.2461114690962049,0.4374845909562241,3172.373457220063,2,277.42946417328494,2894.943993046778,5.491417539600979,0.0006516268594524144,57.0,58.0
optimizer_proposed_003_length_0p025m_shift_1p125,optimizer_proposed,inversion_workflow/runs/optimizer_proposed_003_length_0p025m_shift_1p125,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573428500905233,0.2547864428526561,0.3002040146106512,0.2460531854389849,0.437071459271483,3173.394559307052,2,277.0195396568697,2896.3750196501824,5.492774628669564,0.0006062470787339125,52.0,60.0
production_sampler_001_length_0p004m_shift_0p954,production_sampler,inversion_workflow/runs/production_sampler_001_length_0p004m_shift_0p954,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573207355164934,0.2541915360176966,0.2999760820458262,0.2453495774082044,0.4381978469451189,3157.461681147704,2,270.8696911370958,2886.591990010608,5.483490363136467,1.1340243774415892e-05,28.0,29.0
production_sampler_002_length_0p005m_shift_0p952,production_sampler,inversion_workflow/runs/production_sampler_002_length_0p005m_shift_0p952,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573212501342961,0.2541918864486402,0.2999763980892154,0.2453490368296635,0.4381978320657904,3157.527291002184,2,270.9337622544507,2886.593528747733,5.483491824660836,1.1690674718012328e-05,29.0,30.0
production_sampler_003_length_0p003m_shift_0p950,production_sampler,inversion_workflow/runs/production_sampler_003_length_0p003m_shift_0p950,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573219275885686,0.2541923479773977,0.2999768143502958,0.2453490669190368,0.4381978124888614,3157.6164180251667,2,271.0208592729672,2886.5955587521994,5.483493752800497,1.2152203475501722e-05,30.0,31.0
production_sampler_004_length_0p007m_shift_0p951,production_sampler,inversion_workflow/runs/production_sampler_004_length_0p007m_shift_0p951,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573607334103436,0.2542372432147717,0.3000111390577039,0.2453975968210833,0.4382121900691169,3157.9479263226312,2,270.9671461798792,2886.980780142752,5.483859631666398,5.704744084950031e-05,33.0,34.0
