cell_id,material_id,centroid_x,centroid_y,radial_distance_from_origin_m,within_approx_1p5m_center_support,current_log10_k_geom_m2,ert_ready_support_lookup_count,inside_ert_ready_support_cells,bcdma32_nearest_distance_m,bcdma32_distance_along_m,bcdma33_nearest_distance_m,bcdma33_distance_along_m
2677,1,-1.091099059332915,0.44671798152478664,1.179005560756501,True,-18.949263297538756,0,False,0.8238117140379462,0.0,2.071963904727348,0.0
2678,1,0.3009334949095635,-1.1458103214700601,1.1846696844039721,True,-18.914498547238548,0,False,1.5728966650085385,0.0,0.08590318241667913,0.08392571632279996
2679,1,0.7499950430849393,-0.9178337647378617,1.1852895782655208,True,-18.899035443709284,0,False,1.8998305531810193,0.0,0.4134214302665754,0.01831690869872827
2680,1,-1.10575658276358,0.4095450310131074,1.179162733787206,True,-18.932173776021887,0,False,0.787157590843896,0.0,2.055871045503287,0.0
2681,1,-0.693130416581562,1.13303918455193,1.3282347564043913,True,-19.38829374028292,1,True,1.5565023320339726,0.0,2.410462449405996,0.0
2682,1,-1.093443101727867,0.4139511221128315,1.1691763546252254,True,-18.929586373721172,1,True,0.7911173064080593,0.0,2.05026427415748,0.0
2683,1,1.1652635576913433,0.49102530241271175,1.2644939725016413,True,-19.57073779767928,1,True,2.3989401636528807,0.0,1.730980740931647,0.0
2684,1,1.1808304342482083,0.4835261641445287,1.2759929724959829,True,-19.57391146687942,0,False,2.41077266142667,0.0,1.731737770181857,0.0
2685,1,1.2203462854429832,-0.5457976583191916,1.3368396090111931,True,-19.250634933471954,0,False,2.2977504031418206,0.0,0.9964241604306152,0.0
2686,1,-0.7607194827115499,-0.9201786041687764,1.1939107148136856,True,-18.919200044624727,0,False,0.6257726520938508,0.0,1.1209636418410198,0.0
2687,1,-0.7664418423751703,1.0778942912873966,1.3226069714519897,True,-19.36851512361021,0,False,1.4863236318847566,0.0,2.394332602016769,0.0
2688,1,-0.22443706925633802,1.187160591737045,1.208189665834725,True,-19.292278747889096,0,False,1.7785162913086756,0.0,2.2992064914511796,0.0
2689,1,-0.7848460304892084,1.082349236314543,1.3369604186083228,True,-19.375133942074655,0,False,1.4870309496262824,0.0,2.4069239561755507,0.0
2690,1,-1.1060830479871886,0.7520098186999394,1.3375120472226578,True,-19.176575755499506,1,True,1.1294021217653947,0.0,2.310057966082744,0.0
2691,1,0.8765128314812646,-0.6960562001797403,1.1192716281403556,True,-19.002656496723816,0,False,1.9736809933212605,0.0,0.6244826152010823,0.0
2692,1,-0.6523116538728241,1.1673923200032916,1.3372790743075906,True,-19.399546400853414,0,False,1.6000463440123884,0.0,2.42422324597385,0.0
2693,1,0.2713045016563843,-1.1434572685263167,1.1752023900438102,True,-18.914899024002487,0,False,1.5459494080268665,0.0,0.113061969466063,0.07185035358045495
2694,1,1.0135572516372156,0.8771653862377112,1.3404168818542757,True,-19.398603578152507,1,True,2.4328402014398205,0.0,2.02563011885805,0.0
2695,1,0.8941762811461045,-0.6780382359097535,1.122179607335603,True,-19.02000519846508,0,False,1.9883049669437987,0.0,0.6491521118838116,0.0
2696,1,-0.7159076206929825,0.9251249647403497,1.1697777232244253,True,-19.236838196420422,0,False,1.3495808533074325,0.0,2.2358359717203293,0.0
2697,1,-0.7063473579810946,0.912919098154548,1.15427374132057,True,-19.223306199527055,0,False,1.3403799493711928,0.0,2.220544923120855,0.0
2698,1,-0.04373048026769727,1.24345625646621,1.2442249863466834,True,-19.292598137012252,0,False,1.9186100233742438,0.0,2.3159564302529807,0.0
2699,1,-0.8440175953829835,0.8333832498663112,1.1861253485504002,True,-19.191135190156754,0,False,1.2313718811270202,0.0,2.2220964015716493,0.0
2700,1,-1.1936741151118817,0.395200330160979,1.2573946055425402,True,-18.960911630221176,0,False,0.7817096533669505,0.0,2.109428882016123,0.0
2701,1,-0.055401437006042324,1.2343918000775915,1.2356344262447252,True,-19.28927050438582,0,False,1.9047114224671715,0.0,2.3090680016738223,0.0
2702,1,-0.7418760136596588,-0.934364328190964,1.1930702902341077,True,-18.91891471612815,0,False,0.647505323329952,0.0,1.1007993476440052,0.0
2703,1,1.29922697112324,-0.2577778189842417,1.324552802441013,True,-19.4732398128399,1,True,2.3734006745707528,0.0,1.2256791541970673,0.0
2704,1,0.6336340172775469,-1.032172322397795,1.2111448183331919,True,-18.886366615035644,0,False,1.8264310940060247,0.0,0.2656518148607389,0.08743517587545727
2705,1,-1.2394948957225036,-0.18667056924647266,1.2534725756652765,True,-18.90174318614596,0,False,0.2296565362962675,0.10842291189106273,1.806715136696677,0.0
2706,1,-0.8107347089578738,1.028477066912775,1.3096014070985542,True,-19.34294246561033,0,False,1.4292609404010364,0.0,2.3722053085905124,0.0
2707,1,-0.8222081226739298,1.0150449475691217,1.3062704324053993,True,-19.33542355433187,0,False,1.4139905486435231,0.0,2.366195458206179,0.0
