source_file,zone_name,measurement_type,model_role,model_quantity,nodes,elements,zonetype,datapacking,coordinate_values_read,coordinate_complete,x_min,x_max,x_mean,y_min,y_max,y_mean,z_min,z_max,z_mean
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,MINIPRISMA_7,miniprisma_geodesy,geodetic deformation validation,3D point displacement trend,122,240,FEQuadrilateral,BLOCK,366,True,-4.72623539,-4.618993282,-4.672614308704917,7.663427353,7.77066946,7.717048519967209,2.226012945,2.336013079,2.281012972983606
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,MINIPRISMA_8,miniprisma_geodesy,geodetic deformation validation,3D point displacement trend,122,240,FEQuadrilateral,BLOCK,366,True,-3.69346714,-3.586225033,-3.6398460552950826,8.128395081,8.235636711,8.1820159504918,1.825013041,1.935013056,1.8800129899754094
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,MINIPRISMA_9,miniprisma_geodesy,geodetic deformation validation,3D point displacement trend,122,240,FEQuadrilateral,BLOCK,366,True,-3.704753637,-3.59751153,-3.6511325758852444,7.730784893,7.838027,7.7844060601311496,1.618013024,1.728013039,1.6730129924836055
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,MINIPRISMA_10,miniprisma_geodesy,geodetic deformation validation,3D point displacement trend,122,240,FEQuadrilateral,BLOCK,366,True,-3.760351658,-3.65310955,-3.7067305455409802,8.178549767,8.285791397,8.232170323819675,0.6810129881,0.7910130024,0.736013005020492
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,MINIPRISMA_11,miniprisma_geodesy,geodetic deformation validation,3D point displacement trend,122,240,FEQuadrilateral,BLOCK,366,True,-3.882607222,-3.775365353,-3.82898627342623,7.648705482,7.75594759,7.702326422786887,0.606013,0.7160130143,0.6610129973959015
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,MINIPRISMA_12,miniprisma_geodesy,geodetic deformation validation,3D point displacement trend,122,240,FEQuadrilateral,BLOCK,366,True,-4.055942059,-3.948699951,-4.002321036114754,8.658617973,8.765860558,8.712239374868851,0.3850130141,0.4950129986,0.440013001431967
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,LTM1,laser_scan_geodetic_support,laser/scan registration support,survey target geometry,122,240,FEQuadrilateral,BLOCK,366,True,-4.836944103,-4.729701996,-4.783322904983609,12.64841843,12.75566006,12.702039061967213,0.01901300065,0.1290130019,0.07401300007336063
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,LTM2,laser_scan_geodetic_support,laser/scan registration support,survey target geometry,122,240,FEQuadrilateral,BLOCK,366,True,-4.719074249,-4.611832142,-4.665453340245904,12.79860687,12.90584946,12.852228195573765,0.02401299961,0.1340129972,0.07901299776893445
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,AGI1,laser_scan_geodetic_support,laser/scan registration support,survey target geometry,122,240,FEQuadrilateral,BLOCK,366,True,-4.608683109,-4.501441002,-4.5550619422950795,13.30989742,13.41713905,13.363518495245895,0.3600130081,0.4700129926,0.41501299549754117
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,NMR_4R,nmr_support,water-content point support,NMR station/measurement layout,122,240,FEQuadrilateral,BLOCK,366,True,-3.876415491,-3.769173384,-3.8227945038196736,5.771146774,5.878388882,5.82476773031148,0.4120129943,0.5220130086,0.46701299656475415
