semantic_activation_gate,rows,mapped_trend_rows,outside_current_mesh_rows,trend_ready_gate_rows,wc_percent_candidate_physical_rows,topp_candidate_physical_rows,linear_eps6_candidate_physical_rows,taupe_value_min,taupe_value_median,taupe_value_max,standardized_anomaly_min,standardized_anomaly_median,standardized_anomaly_max,band_mean_porosity_min,band_mean_porosity_median,band_mean_porosity_max,group_type,group_key,mapping_status,operator_status,sensor,edz_band_cm
,212,0,212,0,0,0,0,10.267565303610825,10.564414739979188,10.708115418764308,-0.2894796218446702,2.0513105102409543,3.184454419791121,,,,sensor_edz_band,A7 | 0-50,,,A7,0-50
,212,0,212,0,0,0,0,10.28964474355372,10.57405253080837,10.712649093553718,-0.3521457673604159,2.1581145261515946,3.381405391831684,,,,sensor_edz_band,A7 | 10-20,,,A7,10-20
,212,0,212,0,0,0,0,10.365881440433885,10.739896046076963,10.861699230826444,-0.4395651357627574,3.6749631870060364,5.014917953193539,,,,sensor_edz_band,A7 | 20-30,,,A7,20-30
,212,0,212,0,0,0,0,10.382318911735537,10.77530023541033,10.89468237,-0.4054541361206532,3.7867969087787126,5.0603431266901175,,,,sensor_edz_band,A7 | 30-40,,,A7,30-40
,212,0,212,0,0,0,0,10.426096653161157,10.877571114537709,11.004376182086776,-0.5673077910428976,5.081636052648182,6.668247847911397,,,,sensor_edz_band,A7 | 40-50,,,A7,40-50
,212,0,212,0,0,0,0,9.87126613789583,10.047657139897122,10.169160816692315,-0.4450076672999083,1.1879939103687402,2.312856820879564,,,,sensor_edz_band,A8 | 0-10,,,A8,0-10
,212,0,212,0,0,0,0,9.974866232146455,10.108691511619337,10.21660016071013,-0.3710572512106572,1.208882864802634,2.4828514620278743,,,,sensor_edz_band,A8 | 0-50,,,A8,0-50
,212,0,212,0,0,0,0,10.000997744980952,10.129582890035188,10.245429705918454,-0.4271298114006585,1.0272473679334806,2.3375461994826283,,,,sensor_edz_band,A8 | 10-20,,,A8,10-20
,212,0,212,0,0,0,0,10.035963285487153,10.146622299401148,10.250951058020725,-0.5353491357284998,1.084098698816049,2.6109059262734498,,,,sensor_edz_band,A8 | 20-30,,,A8,20-30
,212,0,212,0,0,0,0,10.034763709977234,10.156543991849652,10.26354379525874,-0.7397164028463651,0.9644285427478034,2.461741337196704,,,,sensor_edz_band,A8 | 30-40,,,A8,30-40
,212,0,212,0,0,0,0,10.020490983828685,10.12557551415926,10.225173460189732,-0.3096555107448345,1.2417742955241613,2.7122021656279327,,,,sensor_edz_band,A8 | 40-50,,,A8,40-50
,1272,1272,0,1272,848,0,1272,10.076536191930847,10.210375968807444,10.457128084040871,-6.005866924144911,-1.90369470819468,6.634845905095924,0.0756638555435984,0.10974334099510115,0.1703187298601793,sensor_mapping,A3 | mapped_band_samples,mapped_band_samples,,A3,
,1272,1272,0,1272,1272,0,1272,10.170141415639051,10.259975160002686,10.406990478925,-6.553317429259198,-0.7694690733576965,3.1625728267221827,0.1078447474245111,0.1151885287327197,0.1546897095322866,sensor_mapping,A4 | mapped_band_samples,mapped_band_samples,,A4,
,1272,0,1272,0,0,0,0,10.154201427210744,10.673114943166322,11.004376182086776,-0.5673077910428976,2.948432063591729,6.668247847911397,,,,sensor_mapping,A7 | band_samples_outside_mesh,band_samples_outside_mesh,,A7,
,1272,0,1272,0,0,0,0,9.87126613789583,10.121241492759413,10.26354379525874,-0.7397164028463651,1.1239816371665388,2.7122021656279327,,,,sensor_mapping,A8 | band_samples_outside_mesh,band_samples_outside_mesh,,A8,
