cell_id,material_id,centroid_x,centroid_y,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y
2574,1,-0.5681187538627414,-1.15476748835678,-0.577579496765082,-1.17997112399443,-0.55006027069092,-1.13740939869882
2575,1,1.30913469621765,-0.03311368574569163,1.29153352049839,-0.0512479547013943,1.31841455502291,-0.0156773128248635
2576,1,1.3280527286285666,-0.03538177024349196,1.31745601313165,-0.0512479547013943,1.34828761773114,-0.0156773128248635
2577,1,-0.9750384302376359,-0.7469820819868344,-0.992341072499751,-0.757915861030565,-0.96383832181944,-0.728715383308513
2578,1,-0.9825934398897149,-0.7633853752550434,-0.992341072499751,-0.77792526311314,-0.968935896393717,-0.754315001621425
2579,1,0.9454858160803771,0.937388794231385,0.93026224785775,0.915507596681456,0.954594143526111,0.954594165677565
2580,1,0.29024789789799393,1.2745652706911434,0.279150021494887,1.26041388036049,0.305342212258313,1.29360851618624
2581,1,-0.6169313156540249,-1.1858084507758433,-0.640178143789786,-1.20538847798571,-0.605259443246522,-1.16477546690992
2582,1,-0.5959792209503213,-1.1433605735430865,-0.605259443246522,-1.16477546690992,-0.577579496765082,-1.12789685502052
2583,1,0.29295712235720933,1.2542832089750202,0.279150021494887,1.23276233103787,0.305342212258313,1.2696734155267
2584,1,0.300890822263248,1.2919262234482767,0.286251459940782,1.2696734155267,0.311078794590649,1.31249673863189
2585,1,1.1769920837238401,-0.191758205338578,1.15971380552218,-0.203538873159666,1.19235265446578,-0.180057185635775
2586,1,-1.10378203843511,0.4771943298334696,-1.11284104134802,0.462885473590059,-1.09009647216797,0.489116556971751
2587,1,0.562122643485784,-1.2044573605174467,0.542670467216721,-1.22351546910394,0.573162716828665,-1.18733248387696
2588,1,-0.6240216763984496,-1.1675874709031033,-0.640178143789786,-1.1872614074319,-0.605259443246522,-1.15072553836749
2589,1,-0.6972699958568627,0.9415050610492118,-0.706154906643977,0.92655163658429,-0.684553032869995,0.954317659714546
2590,1,-0.612328536081641,-1.1477992867659765,-0.626627442159041,-1.16477546690992,-0.60509872283936,-1.12789685502052
2591,1,-1.0420640340393135,0.5165666639134293,-1.05041313018801,0.503441810862215,-1.030571459198,0.530885944054034
