source_file,source_sheet,source_row_1based,measurement_type,original_3d_x,original_3d_y,original_3d_z,model_xz_x,model_xz_y,model_xz_z,model_xy_x,model_xy_y,model_xy_z
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,53,Permeablilty,-4.715093137,0.0,-3.092111401,-0.08509313700000032,0.0,-4.372111401,-0.08509313700000032,-4.372111401,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,54,Permeablilty,-4.758128304,0.0,-5.29092226,-0.12812830400000053,0.0,-6.570922260000001,-0.12812830400000053,-6.570922260000001,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,55,Permeablilty,-4.758128304,0.0,-5.29092226,-0.12812830400000053,0.0,-6.570922260000001,-0.12812830400000053,-6.570922260000001,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,56,Permeablilty,7.727096923,0.0,0.034213,12.357096923,0.0,-1.245787,12.357096923,-1.245787,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,57,Permeablilty,7.727104422,0.0,-0.115786999,12.357104421999999,0.0,-1.395786999,12.357104421999999,-1.395786999,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,58,Permeablilty,7.727109422,0.0,-0.215786999,12.357109422,0.0,-1.4957869990000001,12.357109422,-1.4957869990000001,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,59,Permeablilty,7.727114421,0.0,-0.315786998,12.357114420999999,0.0,-1.595786998,12.357114420999999,-1.595786998,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,60,Permeablilty,7.72711942,0.0,-0.415786998,12.35711942,0.0,-1.695786998,12.35711942,-1.695786998,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,61,Permeablilty,7.727124419,0.0,-0.515786997,12.357124419,0.0,-1.795786997,12.357124419,-1.795786997,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,62,Permeablilty,7.727129419,0.0,-0.615786997,12.357129419,0.0,-1.895786997,12.357129419,-1.895786997,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,63,Permeablilty,7.727134418,0.0,-0.715786996,12.357134418000001,0.0,-1.995786996,12.357134418000001,-1.995786996,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,64,Permeablilty,7.727139417,0.0,-0.815786996,12.357139416999999,0.0,-2.095786996,12.357139416999999,-2.095786996,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,65,Permeablilty,7.727144416,0.0,-0.915786995,12.357144416,0.0,-2.195786995,12.357144416,-2.195786995,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,66,Permeablilty,7.727149416,0.0,-1.015786995,12.357149415999999,0.0,-2.2957869950000003,12.357149415999999,-2.2957869950000003,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,67,Permeablilty,7.727154415,0.0,-1.115786994,12.357154415,0.0,-2.395786994,12.357154415,-2.395786994,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,68,Permeablilty,7.727159414,0.0,-1.215786994,12.357159414,0.0,-2.495786994,12.357159414,-2.495786994,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,69,Permeablilty,7.727181911,0.0,-1.665786992,12.357181911,0.0,-2.945786992,12.357181911,-2.945786992,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,70,Permeablilty,7.727221905,0.0,-2.465786988,12.357221905,0.0,-3.745786988,12.357221905,-3.745786988,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,71,Permeablilty,7.727261899,0.0,-3.265786984,12.357261899000001,0.0,-4.545786984,12.357261899000001,-4.545786984,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,72,Permeablilty,7.727371882,0.0,-5.465786973,12.357371881999999,0.0,-6.745786973,12.357371881999999,-6.745786973,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,73,Permeablilty,7.727371882,0.0,-5.465786972,12.357371881999999,0.0,-6.745786972,12.357371881999999,-6.745786972,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,74,Permeablilty,-5.811661899,0.0,1.174145348,-1.1816618989999998,0.0,-0.1058546520000001,-1.1816618989999998,-0.1058546520000001,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,75,Permeablilty,-5.961596547,0.0,1.177791538,-1.3315965470000002,0.0,-0.10220846200000011,-1.3315965470000002,-0.10220846200000011,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,76,Permeablilty,-6.061552979,0.0,1.180222331,-1.4315529790000001,0.0,-0.09977766900000007,-1.4315529790000001,-0.09977766900000007,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,77,Permeablilty,-6.161509412,0.0,1.182653124,-1.5315094120000001,0.0,-0.09734687600000003,-1.5315094120000001,-0.09734687600000003,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,78,Permeablilty,-6.261465844,0.0,1.185083917,-1.631465844,0.0,-0.09491608299999998,-1.631465844,-0.09491608299999998,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,79,Permeablilty,-6.361422276,0.0,1.18751471,-1.731422276,0.0,-0.09248528999999994,-1.731422276,-0.09248528999999994,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,80,Permeablilty,-6.461378709,0.0,1.189945504,-1.831378709,0.0,-0.09005449600000004,-1.831378709,-0.09005449600000004,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,81,Permeablilty,-6.561335141,0.0,1.192376297,-1.931335141,0.0,-0.087623703,-1.931335141,-0.087623703,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,82,Permeablilty,-6.661291573,0.0,1.19480709,-2.031291573,0.0,-0.08519290999999996,-2.031291573,-0.08519290999999996,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,83,Permeablilty,-6.761248005,0.0,1.197237883,-2.131248005,0.0,-0.08276211700000013,-2.131248005,-0.08276211700000013,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,84,Permeablilty,-6.861204438,0.0,1.199668676,-2.231204438,0.0,-0.08033132400000009,-2.231204438,-0.08033132400000009,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,85,Permeablilty,-6.96116087,0.0,1.202099469,-2.3311608699999997,0.0,-0.07790053100000005,-2.3311608699999997,-0.07790053100000005,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,86,Permeablilty,-7.061117302,0.0,1.204530262,-2.4311173020000005,0.0,-0.07546973800000001,-2.4311173020000005,-0.07546973800000001,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,87,Permeablilty,-7.510921247,0.0,1.215468831,-2.880921247,0.0,-0.06453116900000011,-2.880921247,-0.06453116900000011,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,88,Permeablilty,-8.310572706,0.0,1.234915176,-3.6805727060000004,0.0,-0.045084824000000134,-3.6805727060000004,-0.045084824000000134,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,89,Permeablilty,-9.110224164,0.0,1.254361521,-4.480224164,0.0,-0.025638478999999936,-4.480224164,-0.025638478999999936,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,90,Permeablilty,-11.30926567,0.0,1.30783897,-6.67926567,0.0,0.027838969999999907,-6.67926567,0.027838969999999907,0.0
