source_file,source_sheet,sensor,date_iso,source_column,edz_band_cm,edz_min_cm,edz_max_cm,taupe_value,quantity_note
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-03-20T00:00:00,MV EDZ 40-50,40-50,40,50,10.362387573645726,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-03-30T09:00:00,MV EDZ 0-50,0-50,0,50,10.21176716562027,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-03-30T09:00:00,MV EDZ 0-10,0-10,0,10,10.107102441543454,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-03-30T09:00:00,MV EDZ 10-20,10-20,10,20,10.168671899640046,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-03-30T09:00:00,MV EDZ 20-30,20-30,20,30,10.20836608642982,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-03-30T09:00:00,MV EDZ 30-40,30-40,30,40,10.231962429921552,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-03-30T09:00:00,MV EDZ 40-50,40-50,40,50,10.349349786326513,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-04-10T09:00:00,MV EDZ 0-50,0-50,0,50,10.214184417620704,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-04-10T09:00:00,MV EDZ 0-10,0-10,0,10,10.12421486031928,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-04-10T09:00:00,MV EDZ 10-20,10-20,10,20,10.150193740936533,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-04-10T09:00:00,MV EDZ 20-30,20-30,20,30,10.213720800918452,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-04-10T09:00:00,MV EDZ 30-40,30-40,30,40,10.23836811445151,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
