group,segment_label,start_label,end_label,sample_index,sample_count,sample_fraction,distance_along_segment_m,segment_length_2d_m,sample_spacing_target_m,lookup_x,lookup_y,lookup_status,inside_mesh_bbox,distance_to_mesh_bbox_m,containing_cell_id,nearest_cell_id,lookup_cell_id,lookup_material_id,nearest_centroid_x,nearest_centroid_y,nearest_centroid_distance_m
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,23,41,0.575,2.299246247515508,3.998689126113928,0.1,11.245837543884583,-3.45285525000003,outside_mesh_bbox_nearest_cell,False,6.2458375438845835,-1,7663,7663,0,4.890130566926607,-2.7425167116862066,6.395278884924888
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,24,41,0.6,2.3992134756683567,3.998689126113928,0.1,11.214579870314706,-3.547810000000031,outside_mesh_bbox_nearest_cell,False,6.214579870314706,-1,7663,7663,0,4.890130566926607,-2.7425167116862066,6.375512235995592
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,25,41,0.625,2.499180703821205,3.998689126113928,0.1,11.18332219674483,-3.6427647500000324,outside_mesh_bbox_nearest_cell,False,6.183322196744831,-1,7663,7663,0,4.890130566926607,-2.7425167116862066,6.357256280826032
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,26,41,0.65,2.5991479319740534,3.998689126113928,0.1,11.152064523174953,-3.7377195000000327,outside_mesh_bbox_nearest_cell,False,6.152064523174953,-1,5631,5631,0,4.841259201623154,-4.256107998281497,6.332060521005546
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,27,41,0.675,2.6991151601269014,3.998689126113928,0.1,11.120806849605078,-3.832674250000034,outside_mesh_bbox_nearest_cell,False,6.120806849605078,-1,5631,5631,0,4.841259201623154,-4.256107998281497,6.293807655343386
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,28,41,0.7,2.7990823882797495,3.998689126113928,0.1,11.0895491760352,-3.9276290000000342,outside_mesh_bbox_nearest_cell,False,6.0895491760352005,-1,5631,5631,0,4.841259201623154,-4.256107998281497,6.256918255551217
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,29,41,0.725,2.8990496164325976,3.998689126113928,0.1,11.058291502465325,-4.022583750000035,outside_mesh_bbox_nearest_cell,False,6.058291502465325,-1,5631,5631,0,4.841259201623154,-4.256107998281497,6.221416575366925
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,30,41,0.75,2.999016844585446,3.998689126113928,0.1,11.027033828895448,-4.117538500000037,outside_mesh_bbox_nearest_cell,False,6.027033828895448,-1,5631,5631,0,4.841259201623154,-4.256107998281497,6.187326502235005
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,31,41,0.775,3.0989840727382942,3.998689126113928,0.1,10.995776155325572,-4.212493250000037,outside_mesh_bbox_nearest_cell,False,5.995776155325572,-1,5631,5631,0,4.841259201623154,-4.256107998281497,6.154671492425746
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,32,41,0.8,3.1989513008911423,3.998689126113928,0.1,10.964518481755697,-4.307448000000038,outside_mesh_bbox_nearest_cell,False,5.964518481755697,-1,5631,5631,0,4.841259201623154,-4.256107998281497,6.123474504519944
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,33,41,0.825,3.2989185290439904,3.998689126113928,0.1,10.93326080818582,-4.4024027500000384,outside_mesh_bbox_nearest_cell,False,5.933260808185819,-1,5631,5631,0,4.841259201623154,-4.256107998281497,6.093757931583966
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,34,41,0.85,3.3988857571968385,3.998689126113928,0.1,10.902003134615944,-4.49735750000004,outside_mesh_bbox_nearest_cell,False,5.902003134615944,-1,5631,5631,0,4.841259201623154,-4.256107998281497,6.065543532395787
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,35,41,0.875,3.498852985349687,3.998689126113928,0.1,10.870745461046067,-4.592312250000041,outside_mesh_bbox_nearest_cell,False,5.8707454610460665,-1,5733,5733,0,4.8379232913584636,-4.735565165850393,6.0345227424357155
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,36,41,0.9,3.598820213502535,3.998689126113928,0.1,10.839487787476191,-4.687267000000041,outside_mesh_bbox_nearest_cell,False,5.839487787476191,-1,5733,5733,0,4.8379232913584636,-4.735565165850393,6.0017588350320565
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,37,41,0.925,3.6987874416553836,3.998689126113928,0.1,10.808230113906314,-4.782221750000042,outside_mesh_bbox_nearest_cell,False,5.808230113906314,-1,5733,5733,0,4.8379232913584636,-4.735565165850393,5.970489125038745
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,38,41,0.95,3.7987546698082313,3.998689126113928,0.1,10.776972440336438,-4.877176500000043,outside_mesh_bbox_nearest_cell,False,5.776972440336438,-1,5733,5733,0,4.8379232913584636,-4.735565165850393,5.94073720710954
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,39,41,0.975,3.89872189796108,3.998689126113928,0.1,10.745714766766561,-4.972131250000044,outside_mesh_bbox_nearest_cell,False,5.745714766766561,-1,5733,5733,0,4.8379232913584636,-4.735565165850393,5.91252599394493
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,40,41,1.0,3.998689126113928,3.998689126113928,0.1,10.714457093196685,-5.067086000000045,outside_mesh_bbox_nearest_cell,False,5.714850864316751,-1,5733,5733,0,4.8379232913584636,-4.735565165850393,5.885877639538768
Charac. Bohrungen,BCD-A35,BCD-A35 Anfang,BCD-A35 Ende,0,41,0.0,0.0,3.9890223393278927,0.1,13.472919988050535,-0.5765429999999856,outside_mesh_bbox_nearest_cell,False,8.472919988050535,-1,5763,5763,0,4.91221400377144,-0.7390450159297993,8.562248177578898
Charac. Bohrungen,BCD-A35,BCD-A35 Anfang,BCD-A35 Ende,1,41,0.025,0.09972555848319732,3.9890223393278927,0.1,13.56841809814066,-0.6052709999999866,outside_mesh_bbox_nearest_cell,False,8.56841809814066,-1,5763,5763,0,4.91221400377144,-0.7390450159297993,8.657237712498857
Charac. Bohrungen,BCD-A35,BCD-A35 Anfang,BCD-A35 Ende,2,41,0.05,0.19945111696639464,3.9890223393278927,0.1,13.663916208230784,-0.6339989999999875,outside_mesh_bbox_nearest_cell,False,8.663916208230784,-1,5763,5763,0,4.91221400377144,-0.7390450159297993,8.752332611424299
Charac. Bohrungen,BCD-A35,BCD-A35 Anfang,BCD-A35 Ende,3,41,0.075,0.2991766754495919,3.9890223393278927,0.1,13.759414318320909,-0.6627269999999885,outside_mesh_bbox_nearest_cell,False,8.759414318320909,-1,5763,5763,0,4.91221400377144,-0.7390450159297993,8.847529476939858
Charac. Bohrungen,BCD-A35,BCD-A35 Anfang,BCD-A35 Ende,4,41,0.1,0.3989022339327893,3.9890223393278927,0.1,13.854912428411033,-0.6914549999999895,outside_mesh_bbox_nearest_cell,False,8.854912428411033,-1,5763,5763,0,4.91221400377144,-0.7390450159297993,8.942825052726219
Charac. Bohrungen,BCD-A35,BCD-A35 Anfang,BCD-A35 Ende,5,41,0.125,0.4986277924159866,3.9890223393278927,0.1,13.950410538501158,-0.7201829999999905,outside_mesh_bbox_nearest_cell,False,8.950410538501158,-1,5763,5763,0,4.91221400377144,-0.7390450159297993,9.03821621649124
Charac. Bohrungen,BCD-A35,BCD-A35 Anfang,BCD-A35 Ende,6,41,0.15,0.5983533508991838,3.9890223393278927,0.1,14.045908648591283,-0.7489109999999914,outside_mesh_bbox_nearest_cell,False,9.045908648591283,-1,5763,5763,0,4.91221400377144,-0.7390450159297993,9.133699973310508
Charac. Bohrungen,BCD-A35,BCD-A35 Anfang,BCD-A35 Ende,7,41,0.175,0.6980789093823812,3.9890223393278927,0.1,14.141406758681407,-0.7776389999999924,outside_mesh_bbox_nearest_cell,False,9.141406758681407,-1,5763,5763,0,4.91221400377144,-0.7390450159297993,9.22927344935066
Charac. Bohrungen,BCD-A35,BCD-A35 Anfang,BCD-A35 Ende,8,41,0.2,0.7978044678655786,3.9890223393278927,0.1,14.236904868771532,-0.8063669999999934,outside_mesh_bbox_nearest_cell,False,9.236904868771532,-1,5763,5763,0,4.91221400377144,-0.7390450159297993,9.3249338859509
Charac. Bohrungen,BCD-A35,BCD-A35 Anfang,BCD-A35 Ende,9,41,0.225,0.8975300263487759,3.9890223393278927,0.1,14.332402978861657,-0.8350949999999944,outside_mesh_bbox_nearest_cell,False,9.332402978861657,-1,5763,5763,0,4.91221400377144,-0.7390450159297993,9.420678634039648
Charac. Bohrungen,BCD-A35,BCD-A35 Anfang,BCD-A35 Ende,10,41,0.25,0.9972555848319732,3.9890223393278927,0.1,14.427901088951781,-0.8638229999999953,outside_mesh_bbox_nearest_cell,False,9.427901088951781,-1,5763,5763,0,4.91221400377144,-0.7390450159297993,9.516505148865132
Charac. Bohrungen,BCD-A35,BCD-A35 Anfang,BCD-A35 Ende,11,41,0.275,1.0969811433151706,3.9890223393278927,0.1,14.523399199041904,-0.8925509999999963,outside_mesh_bbox_nearest_cell,False,9.523399199041904,-1,5763,5763,0,4.91221400377144,-0.7390450159297993,9.612410985019915
Charac. Bohrungen,BCD-A35,BCD-A35 Anfang,BCD-A35 Ende,12,41,0.3,1.1967067017983677,3.9890223393278927,0.1,14.618897309132029,-0.9212789999999973,outside_mesh_bbox_nearest_cell,False,9.618897309132029,-1,5763,5763,0,4.91221400377144,-0.7390450159297993,9.708393791741043
