source_file,source_sheet,source_row_1based,campaign_year,campaign_note,block_label,twin,direction_inferred,interval_id,borehole_depth_m,permeability_m2,transmissibility_m3,log10_permeability_m2,positive_permeability
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2021_BCDA27_19,4,2021,1. MessEinsatz (März. 2021),BFM-D19 Open twin,open,nearly horizontal,,0.7,7.3e-14,7.3e-22,-13.136677139879543,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2021_BCDA27_19,5,2021,1. MessEinsatz (März. 2021),BFM-D19 Open twin,open,nearly horizontal,,0.7,1.01e-14,1.01e-22,-13.995678626217357,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2021_BCDA27_19,6,2021,1. MessEinsatz (März. 2021),BFM-D19 Open twin,open,nearly horizontal,,0.7,6.36e-14,6.36e-22,-13.196542884351587,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2021_BCDA27_19,7,2021,1. MessEinsatz (März. 2021),BFM-D19 Open twin,open,nearly horizontal,,1.2,6.8e-13,6.800000000000002e-21,-12.167491087293763,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2021_BCDA27_19,8,2021,1. MessEinsatz (März. 2021),BFM-D19 Open twin,open,nearly horizontal,,1.2,9.95e-13,9.95e-21,-12.002176919254275,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2021_BCDA27_19,9,2021,1. MessEinsatz (März. 2021),BFM-D19 Open twin,open,nearly horizontal,,1.7,9.3e-13,9.300000000000002e-21,-12.031517051446064,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2021_BCDA27_19,10,2021,1. MessEinsatz (März. 2021),BFM-D19 Open twin,open,nearly horizontal,,1.7,8.27e-13,8.270000000000001e-21,-12.082494490447454,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2021_BCDA27_19,11,2021,1. MessEinsatz (März. 2021),BFM-D19 Open twin,open,nearly horizontal,,0.7,2.08e-13,2.08e-21,-12.681936665037238,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,3,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)","BCDA_24 (vertical, 2021)",,vertical,1.0,0.15,1e-13,1.0000000000000002e-14,-13.0,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,4,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)","BCDA_24 (vertical, 2021)",,vertical,2.0,0.25,5e-14,5.000000000000001e-15,-13.301029995663981,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,5,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)","BCDA_24 (vertical, 2021)",,vertical,3.0,0.35,1e-14,1e-15,-14.0,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,6,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)","BCDA_24 (vertical, 2021)",,vertical,4.0,0.45,2e-14,2e-15,-13.698970004336019,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,7,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)","BCDA_24 (vertical, 2021)",,vertical,5.0,0.55,5e-15,5e-16,-14.301029995663981,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,8,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)","BCDA_24 (vertical, 2021)",,vertical,6.0,0.65,1e-16,1e-17,-16.0,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,9,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)","BCDA_24 (vertical, 2021)",,vertical,7.0,0.75,5e-17,5e-18,-16.30102999566398,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,10,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)","BCDA_24 (vertical, 2021)",,vertical,8.0,0.85,5e-18,5e-19,-17.30102999566398,True
