run_id,run_kind,compared_series_count,compared_sensor_count,compared_edz_band_count,compared_rows_total,aggregate_taupe_trend_mae,aggregate_taupe_mae_rank,combined_active_objective,equal_series_mae,row_weighted_from_series_mae,equal_sensor_mae,equal_edz_band_mae,a3_only_equal_series_mae,a4_only_equal_series_mae,drop_worst_series_mae,trim_best_worst_series_mae,series_mae_min,series_mae_max,series_mae_range,series_mae_std,mean_delta_sign_agreement_fraction,mean_model_taupe_standardized_pearson,aggregate_row_weighted_rank,equal_series_rank,equal_sensor_rank,equal_edz_band_rank,a3_only_equal_series_rank,a4_only_equal_series_rank,drop_worst_series_rank,trim_best_worst_series_rank,rank_spread_across_weighting_modes,mean_rank_across_weighting_modes,worst_rank_across_weighting_modes
continuous_proposed_001_length_0p006m_shift_0p992,continuous_proposed,12,2,6,1860,1.863263802210975,34.0,3156.784121343252,1.863263802210975,1.863263802210975,1.8632638022109753,1.863263802210975,1.8978086953664473,1.828718909055503,1.6919344008229609,1.7600684506109612,1.0105939029429585,3.747887217479133,2.737293314536174,1.0153022868342096,0.6849462365591398,0.17392600551160686,34.0,34.0,34.0,34.0,52.0,14.0,19.0,19.0,38.0,30.0,52.0
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,12,2,6,1860,1.8632346063839675,31.0,3156.3785563886977,1.8632346063839675,1.8632346063839678,1.8632346063839673,1.8632346063839673,1.8977064363407588,1.828762776427176,1.6919763665380858,1.7601166901374303,1.0105731305446406,3.747075244688668,2.7365021141440273,1.0153214314020858,0.6849462365591398,0.17385555773144915,31.0,31.0,31.0,31.0,39.0,22.0,32.0,32.0,17.0,31.125,39.0
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,12,2,6,1860,1.8632393579378337,32.0,3156.3848793875413,1.8632393579378335,1.8632393579378337,1.8632393579378337,1.8632393579378335,1.8977084802995836,1.8287702355760835,1.6919808893410655,1.7601216330958844,1.0105734517928735,3.747082512502283,2.73650906070941,1.0153236831113535,0.6849462365591398,0.17385552612792388,32.0,32.0,32.0,32.0,40.0,23.0,33.0,33.0,17.0,32.125,40.0
lower_support_loop_002_001_length_0p004m_shift_0p992,lower_support,12,2,6,1860,1.863248183527256,33.0,3156.399181991058,1.8632481835272552,1.8632481835272554,1.8632481835272554,1.8632481835272554,1.8977122873023557,1.828784079752155,1.6919892866729394,1.7601308105370592,1.0105740480317422,3.747096048924731,2.7365220008929887,1.0153278655970244,0.6849462365591398,0.17385546815135475,33.0,33.0,33.0,33.0,41.0,24.0,34.0,35.0,17.0,33.25,41.0
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,12,2,6,1860,1.8632764991010973,35.0,3156.4674083289515,1.863276499101098,1.8632764991010982,1.863276499101098,1.863276499101098,1.8977245942206993,1.8288284039814966,1.6920161985373434,1.7601602226909514,1.0105759570012671,3.747139805302396,2.736563848301129,1.0153412858089856,0.6849462365591398,0.17385528852413135,35.0,35.0,35.0,35.0,42.0,25.0,37.0,37.0,17.0,35.125,42.0
lower_support_loop_001_002_length_0p005m_shift_0p985,lower_support,12,2,6,1860,1.863282206988614,36.0,3156.485265083342,1.8632822069886137,1.863282206988614,1.8632822069886137,1.863282206988614,1.8977270922450489,1.8288373217321787,1.6920216179579015,1.7601661456458604,1.010576341078313,3.7471486863264487,2.7365723452481356,1.0153439913394524,0.6849462365591398,0.17385525349843678,36.0,36.0,36.0,36.0,43.0,27.0,38.0,38.0,16.0,36.25,43.0
lower_support_loop_002_003_length_0p006m_shift_0p975,lower_support,12,2,6,1860,1.8633329714627165,37.0,3156.704034323091,1.8633329714627163,1.8633329714627165,1.8633329714627165,1.8633329714627163,1.8977495636649004,1.8289163792605325,1.6920697351999003,1.7602187341014954,1.010579746183952,3.747228570353693,2.736648824169741,1.0153680583023983,0.6849462365591398,0.17385495958635536,37.0,37.0,37.0,37.0,44.0,28.0,39.0,39.0,16.0,37.25,44.0
production_sampler_round4_003_length_0p006m_shift_0p977,production_sampler_round,12,2,6,1860,1.8633376857617256,38.0,3157.026058912853,1.863337685761726,1.8633376857617259,1.863337685761726,1.863337685761726,1.8978408234370958,1.8288345480863557,1.6920047598489405,1.7601453862854968,1.010598495483379,3.7479998708023663,2.737401375318987,1.015337328297862,0.6849462365591398,0.1739255898305744,38.0,38.0,38.0,38.0,54.0,26.0,36.0,36.0,28.0,38.0,54.0
production_sampler_round4_004_length_0p003m_shift_0p972,production_sampler_round,12,2,6,1860,1.8633438195932013,39.0,3156.764647985251,1.8633438195932017,1.863343819593202,1.8633438195932022,1.863343819593202,1.897754425418572,1.8289332137678318,1.6920799984700707,1.760229951184502,1.010580471325757,3.747245851947644,2.7366653806218872,1.015373202495832,0.6849462365591398,0.17385490090893896,39.0,39.0,39.0,39.0,45.0,30.0,40.0,40.0,15.0,38.875,45.0
continuous_proposed_003_length_0p007m_shift_0p972,continuous_proposed,12,2,6,1860,1.8633703535375865,41.0,3158.156564197561,1.8633703535375863,1.863370353537586,1.863370353537586,1.8633703535375863,1.8979796324469564,1.828761074628216,1.691990219017387,1.7601281001756859,1.0106114074343964,3.7485518332597785,2.737940425825382,1.0152905327986381,0.6849462365591398,0.17393754662428726,41.0,41.0,41.0,41.0,59.0,21.0,35.0,34.0,38.0,39.125,59.0
production_sampler_round4_005_length_0p006m_shift_0p970,production_sampler_round,12,2,6,1860,1.863355385055628,40.0,3156.834598911425,1.8633553850556275,1.8633553850556273,1.8633553850556275,1.8633553850556275,1.8977596319628978,1.8289511381483574,1.692090932920661,1.7602419018727253,1.0105812434000176,3.747264358540255,2.7366831151402375,1.015378687276528,0.6849462365591398,0.17385483996398998,40.0,40.0,40.0,40.0,46.0,31.0,41.0,42.0,15.0,40.0,46.0
production_sampler_round4_006_length_0p004m_shift_0p967,production_sampler_round,12,2,6,1860,1.863371510857977,42.0,3156.9412683334226,1.8633715108579771,1.863371510857977,1.8633715108579774,1.8633715108579771,1.8977669316595167,1.8289760900564376,1.6921061660039243,1.7602585507810393,1.010582318232773,3.74729030425256,2.736707986019787,1.0153863356675947,0.6849462365591398,0.17385475777529988,42.0,42.0,42.0,42.0,47.0,32.0,43.0,43.0,15.0,41.625,47.0
production_sampler_round5_006_length_0p003m_shift_0p964,production_sampler_round,12,2,6,1860,1.863385905405229,43.0,3157.045427945438,1.8633859054052289,1.8633859054052286,1.8633859054052289,1.8633859054052284,1.8977734873166143,1.8289983234938436,1.692119750943837,1.7602733984337497,1.0105832760447095,3.747313604480539,2.7367303284358293,1.0153931639828788,0.6849462365591398,0.17385468716409605,43.0,43.0,43.0,43.0,48.0,33.0,44.0,44.0,15.0,42.625,48.0
production_sampler_001_length_0p004m_shift_0p954,production_sampler,12,2,6,1860,1.8634348079574783,44.0,3157.461681147704,1.8634348079574783,1.8634348079574787,1.8634348079574785,1.8634348079574785,1.8977960394936086,1.8290735764213484,1.6921658128654131,1.7603237422988927,1.0105865185306169,3.747393753970199,2.7368072354395823,1.0154163697022875,0.6849462365591398,0.17385446678990366,44.0,44.0,44.0,44.0,49.0,35.0,46.0,46.0,14.0,44.0,49.0
production_sampler_002_length_0p005m_shift_0p952,production_sampler,12,2,6,1860,1.863441624299229,45.0,3157.527291002184,1.86344162429923,1.8634416242992298,1.86344162429923,1.86344162429923,1.897799217515369,1.8290840310830905,1.6921722221570283,1.7603307474663066,1.0105869690642475,3.7474050478634457,2.7368180787991983,1.0154196052632496,0.6849462365591398,0.1738544384784453,45.0,45.0,45.0,45.0,50.0,36.0,47.0,47.0,14.0,45.0,50.0
production_sampler_005_length_0p007m_shift_0p950,production_sampler,12,2,6,1860,1.8634785130087368,48.0,3158.9988954862133,1.8634785130087368,1.8634785130087366,1.8634785130087366,1.8634785130087366,1.898028356470115,1.828928669547358,1.692092395728276,1.7602398796141714,1.0106175568693234,3.748725803093801,2.7381082462244777,1.015341963028116,0.6849462365591398,0.1739378575080428,48.0,48.0,48.0,48.0,63.0,29.0,42.0,41.0,34.0,45.875,63.0
production_sampler_003_length_0p003m_shift_0p950,production_sampler,12,2,6,1860,1.863450592221138,46.0,3157.6164180251667,1.8634505922211375,1.863450592221138,1.8634505922211375,1.8634505922211375,1.897803411708055,1.82909777273422,1.6921806503574457,1.7603399592756652,1.0105875611752466,3.747419952721752,2.736832391546505,1.0154238623765486,0.6849462365591398,0.17385440213140665,46.0,46.0,46.0,46.0,51.0,37.0,48.0,48.0,14.0,46.0,51.0
production_sampler_004_length_0p007m_shift_0p951,production_sampler,12,2,6,1860,1.863463836323036,47.0,3157.9479263226312,1.8634638363230362,1.8634638363230358,1.8634638363230365,1.8634638363230362,1.8978978964111048,1.8290297762349674,1.692124194792492,1.7602759896469327,1.0106062462480894,3.7481998931590215,2.7375936469109323,1.0153972121741068,0.6849462365591398,0.1739250160151545,47.0,47.0,47.0,47.0,56.0,34.0,45.0,45.0,22.0,46.0,56.0
