run_id,run_kind,run_dir,state_sample_rows,ogs_output_times,diagnostic_rows,compared_rows,compared_series,outside_time_tolerance_rows,operator_not_mapped_rows,taupe_trend_residual_mean,taupe_trend_mae,taupe_trend_rmse,taupe_trend_p50_abs,taupe_trend_p90_abs,combined_active_objective,combined_active_component_count,direct_permeability_objective,nmr_state_objective,nmr_state_rmse,taupe_mae_delta_from_reference,taupe_mae_rank,combined_objective_rank
production_sampler_002_length_0p005m_shift_0p952,production_sampler,inversion_workflow/runs/production_sampler_002_length_0p005m_shift_0p952,37184,83,5088,1860,12,684,2544,-0.4843870797886696,1.863441624299229,2.3545337058932714,1.471060561547464,4.061493724259326,3157.527291002184,2,270.9337622544507,2886.593528747733,5.483491824660836,0.00023076392433662996,45.0,38.0
production_sampler_003_length_0p003m_shift_0p950,production_sampler,inversion_workflow/runs/production_sampler_003_length_0p003m_shift_0p950,37184,83,5088,1860,12,684,2544,-0.4844053249616807,1.863450592221138,2.354543935281476,1.4710603172340029,4.061545499402159,3157.6164180251667,2,271.0208592729672,2886.5955587521994,5.483493752800497,0.00023973184624548338,46.0,39.0
production_sampler_004_length_0p007m_shift_0p951,production_sampler,inversion_workflow/runs/production_sampler_004_length_0p007m_shift_0p951,37184,83,5088,1860,12,684,2544,-0.4848788726264581,1.863463836323036,2.354496414614885,1.4710049350060004,4.060986101186592,3157.9479263226312,2,270.9671461798792,2886.980780142752,5.483859631666398,0.0002529759481435523,47.0,42.0
production_sampler_005_length_0p007m_shift_0p950,production_sampler,inversion_workflow/runs/production_sampler_005_length_0p007m_shift_0p950,37184,83,5088,1860,12,684,2544,-0.4849946196213434,1.8634785130087368,2.354472054010756,1.4714814802781708,4.060416168591204,3158.9988954862133,2,271.035882236753,2887.9630132494603,5.484792434967971,0.0002676526338443175,48.0,45.0
production_sampler_006_length_0p008m_shift_0p948,production_sampler,inversion_workflow/runs/production_sampler_006_length_0p008m_shift_0p948,37184,83,5088,1860,12,684,2544,-0.4853452127822347,1.863579606841212,2.354594724119007,1.471129164663112,4.061873669063223,3159.1421943189075,2,271.15622163249884,2887.985972686409,5.484814237098958,0.0003687464663195694,49.0,47.0
production_sampler_round2_001_basis_003_det_l_0p0015_s_0p750,production_sampler_round,inversion_workflow/runs/production_sampler_round2_001_basis_003_det_l_0p0015_s_0p750,37184,83,5088,1860,12,684,2544,-0.4839038491818913,1.863203752459492,2.3542623931190136,1.47132482907414,4.060255354720868,3156.361078643836,2,269.8191465658567,2886.541932077979,5.483442816863533,-7.107915400483833e-06,19.0,15.0
production_sampler_round2_002_basis_008_det_l_0p0025_s_0p750,production_sampler_round,inversion_workflow/runs/production_sampler_round2_002_basis_008_det_l_0p0025_s_0p750,37184,83,5088,1860,12,684,2544,-0.4839038492009704,1.8632037524743024,2.3542623931373683,1.4713248290734031,4.06025535472103,3156.3610786435147,2,269.8191465658567,2886.541932077658,5.483442816863229,-7.1079005901086845e-06,22.0,13.0
production_sampler_round2_003_basis_013_det_l_0p0035_s_0p750,production_sampler_round,inversion_workflow/runs/production_sampler_round2_003_basis_013_det_l_0p0035_s_0p750,37184,83,5088,1860,12,684,2544,-0.4839038491957971,1.863203752469824,2.3542623931318505,1.4713248290730725,4.060255354720732,3156.361078643816,2,269.8191465658567,2886.5419320779592,5.483442816863515,-7.107905068526321e-06,20.0,14.0
production_sampler_round2_004_basis_018_det_l_0p0050_s_0p750,production_sampler_round,inversion_workflow/runs/production_sampler_round2_004_basis_018_det_l_0p0050_s_0p750,37184,83,5088,1860,12,684,2544,-0.4839038491979256,1.8632037524718403,2.3542623931345275,1.4713248290720613,4.060255354720972,3156.3610786433155,2,269.8191465658567,2886.541932077459,5.48344281686304,-7.107903052139264e-06,21.0,12.0
production_sampler_round2_005_basis_023_det_l_0p0075_s_0p750,production_sampler_round,inversion_workflow/runs/production_sampler_round2_005_basis_023_det_l_0p0075_s_0p750,37184,83,5088,1860,12,684,2544,-0.4838998624281264,1.8632038985054304,2.354263326483941,1.4713204114843086,4.060257061673898,3156.3547580979066,2,269.8191465658567,2886.53561153205,5.483436813422052,-6.961869462029924e-06,23.0,11.0
production_sampler_round2_006_length_0p026m_shift_1p107,production_sampler_round,inversion_workflow/runs/production_sampler_round2_006_length_0p026m_shift_1p107,37184,83,5088,1860,12,684,2544,-0.4634751270827467,1.850754570480721,2.3361845717373693,1.4607729582751094,4.035208021144357,3171.354418682823,2,275.10755466664364,2896.24686401618,5.492653108183258,-0.01245628989417158,5.0,65.0
production_sampler_round3_001_length_0p028m,production_sampler_round,inversion_workflow/runs/production_sampler_round3_001_length_0p028m,37184,83,5088,1860,12,684,2544,-0.4639509254012805,1.85124129887896,2.3364941444279044,1.4610179898055642,4.035775909110109,3167.358207564513,2,270.404201595415,2896.954005969098,5.4933236049630985,-0.011969561495932535,7.0,60.0
production_sampler_round3_002_length_0p028m_shift_1p050,production_sampler_round,inversion_workflow/runs/production_sampler_round3_002_length_0p028m_shift_1p050,37184,83,5088,1860,12,684,2544,-0.4622688269333644,1.8506463001555136,2.335650786761113,1.463133004654738,4.033230668319242,3167.879479569597,2,271.09126073611066,2896.7882188334866,5.493166416513838,-0.012564560219378906,4.0,61.0
