file,name,timestep,time_s,point_count,cell_type,cell_count,point_fields,cell_fields
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0057_t_49248000.000000.vtu,results_cd-a_03_01_ts_0057_t_49248000.000000.vtu,57,49248000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0059_t_50976000.000000.vtu,results_cd-a_03_01_ts_0059_t_50976000.000000.vtu,59,50976000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0061_t_52704000.000000.vtu,results_cd-a_03_01_ts_0061_t_52704000.000000.vtu,61,52704000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0063_t_54432000.000000.vtu,results_cd-a_03_01_ts_0063_t_54432000.000000.vtu,63,54432000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0065_t_56160000.000000.vtu,results_cd-a_03_01_ts_0065_t_56160000.000000.vtu,65,56160000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0067_t_57888000.000000.vtu,results_cd-a_03_01_ts_0067_t_57888000.000000.vtu,67,57888000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0069_t_59616000.000000.vtu,results_cd-a_03_01_ts_0069_t_59616000.000000.vtu,69,59616000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0071_t_61344000.000000.vtu,results_cd-a_03_01_ts_0071_t_61344000.000000.vtu,71,61344000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0073_t_63072000.000000.vtu,results_cd-a_03_01_ts_0073_t_63072000.000000.vtu,73,63072000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0075_t_64800000.000000.vtu,results_cd-a_03_01_ts_0075_t_64800000.000000.vtu,75,64800000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0077_t_66528000.000000.vtu,results_cd-a_03_01_ts_0077_t_66528000.000000.vtu,77,66528000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0079_t_68256000.000000.vtu,results_cd-a_03_01_ts_0079_t_68256000.000000.vtu,79,68256000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0081_t_69984000.000000.vtu,results_cd-a_03_01_ts_0081_t_69984000.000000.vtu,81,69984000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0083_t_71712000.000000.vtu,results_cd-a_03_01_ts_0083_t_71712000.000000.vtu,83,71712000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0085_t_73440000.000000.vtu,results_cd-a_03_01_ts_0085_t_73440000.000000.vtu,85,73440000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0087_t_75168000.000000.vtu,results_cd-a_03_01_ts_0087_t_75168000.000000.vtu,87,75168000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0089_t_76896000.000000.vtu,results_cd-a_03_01_ts_0089_t_76896000.000000.vtu,89,76896000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0091_t_78624000.000000.vtu,results_cd-a_03_01_ts_0091_t_78624000.000000.vtu,91,78624000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0093_t_80352000.000000.vtu,results_cd-a_03_01_ts_0093_t_80352000.000000.vtu,93,80352000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0095_t_82080000.000000.vtu,results_cd-a_03_01_ts_0095_t_82080000.000000.vtu,95,82080000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0097_t_83808000.000000.vtu,results_cd-a_03_01_ts_0097_t_83808000.000000.vtu,97,83808000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0099_t_85536000.000000.vtu,results_cd-a_03_01_ts_0099_t_85536000.000000.vtu,99,85536000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0101_t_87264000.000000.vtu,results_cd-a_03_01_ts_0101_t_87264000.000000.vtu,101,87264000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0103_t_88992000.000000.vtu,results_cd-a_03_01_ts_0103_t_88992000.000000.vtu,103,88992000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0105_t_90720000.000000.vtu,results_cd-a_03_01_ts_0105_t_90720000.000000.vtu,105,90720000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0107_t_92448000.000000.vtu,results_cd-a_03_01_ts_0107_t_92448000.000000.vtu,107,92448000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0109_t_94176000.000000.vtu,results_cd-a_03_01_ts_0109_t_94176000.000000.vtu,109,94176000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0111_t_95904000.000000.vtu,results_cd-a_03_01_ts_0111_t_95904000.000000.vtu,111,95904000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0113_t_97632000.000000.vtu,results_cd-a_03_01_ts_0113_t_97632000.000000.vtu,113,97632000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0115_t_99360000.000000.vtu,results_cd-a_03_01_ts_0115_t_99360000.000000.vtu,115,99360000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0117_t_101088000.000000.vtu,results_cd-a_03_01_ts_0117_t_101088000.000000.vtu,117,101088000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0119_t_102816000.000000.vtu,results_cd-a_03_01_ts_0119_t_102816000.000000.vtu,119,102816000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0121_t_104544000.000000.vtu,results_cd-a_03_01_ts_0121_t_104544000.000000.vtu,121,104544000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0123_t_106272000.000000.vtu,results_cd-a_03_01_ts_0123_t_106272000.000000.vtu,123,106272000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0125_t_108000000.000000.vtu,results_cd-a_03_01_ts_0125_t_108000000.000000.vtu,125,108000000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0127_t_109728000.000000.vtu,results_cd-a_03_01_ts_0127_t_109728000.000000.vtu,127,109728000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0129_t_111456000.000000.vtu,results_cd-a_03_01_ts_0129_t_111456000.000000.vtu,129,111456000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0131_t_113184000.000000.vtu,results_cd-a_03_01_ts_0131_t_113184000.000000.vtu,131,113184000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0133_t_114912000.000000.vtu,results_cd-a_03_01_ts_0133_t_114912000.000000.vtu,133,114912000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0135_t_116640000.000000.vtu,results_cd-a_03_01_ts_0135_t_116640000.000000.vtu,135,116640000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0137_t_118368000.000000.vtu,results_cd-a_03_01_ts_0137_t_118368000.000000.vtu,137,118368000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0139_t_120096000.000000.vtu,results_cd-a_03_01_ts_0139_t_120096000.000000.vtu,139,120096000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0141_t_121824000.000000.vtu,results_cd-a_03_01_ts_0141_t_121824000.000000.vtu,141,121824000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0143_t_123552000.000000.vtu,results_cd-a_03_01_ts_0143_t_123552000.000000.vtu,143,123552000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0145_t_125280000.000000.vtu,results_cd-a_03_01_ts_0145_t_125280000.000000.vtu,145,125280000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0147_t_127008000.000000.vtu,results_cd-a_03_01_ts_0147_t_127008000.000000.vtu,147,127008000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
