observation_id,source_sheet,campaign_year,block_label,normalized_segment_label,borehole_depth_m,target_status,usable_for_current_ogs_fit,used_in_objective,observed_permeability_m2,observed_log10_permeability_m2,log10_sigma,segment_tangent_x,segment_tangent_y,selected_cell_ids,prediction_note,predicted_permeability_m2,predicted_log10_permeability_m2,prediction_cell_count,log10_residual_pred_minus_obs,normalized_residual,unweighted_objective_contribution,duplicate_group_key,duplicate_count,objective_weight,objective_contribution
perm_0077,2021_BCDA27_19,2021,BCDA_27 Closed twin,BCD-A27,1.15,missing_segment_geometry,False,False,1e-20,-20.0,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0078,2021_BCDA27_19,2021,BCDA_27 Closed twin,BCD-A27,1.25,missing_segment_geometry,False,False,2e-20,-19.69897000433602,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0079,2021_BCDA27_19,2021,BCDA_27 Closed twin,BCD-A27,1.7,missing_segment_geometry,False,False,2e-20,-19.69897000433602,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0080,2021_BCDA27_19,2021,BCDA_27 Closed twin,BCD-A27,2.5,missing_segment_geometry,False,False,8e-17,-16.096910013008056,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0081,2021_BCDA27_19,2021,BCDA_27 Closed twin,BCD-A27,3.3,missing_segment_geometry,False,False,5e-20,-19.30102999566398,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0082,2021_BCDA27_19,2021,BFM-D19 Open twin,BFM-D19,0.7,missing_segment_geometry,False,False,7.3e-14,-13.136677139879543,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0083,2021_BCDA27_19,2021,BFM-D19 Open twin,BFM-D19,0.7,missing_segment_geometry,False,False,1.01e-14,-13.995678626217355,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0084,2021_BCDA27_19,2021,BFM-D19 Open twin,BFM-D19,0.7,missing_segment_geometry,False,False,6.36e-14,-13.196542884351588,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0085,2021_BCDA27_19,2021,BFM-D19 Open twin,BFM-D19,1.2,missing_segment_geometry,False,False,6.8e-13,-12.167491087293763,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0086,2021_BCDA27_19,2021,BFM-D19 Open twin,BFM-D19,1.2,missing_segment_geometry,False,False,9.95e-13,-12.002176919254277,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0087,2021_BCDA27_19,2021,BFM-D19 Open twin,BFM-D19,1.7,missing_segment_geometry,False,False,9.3e-13,-12.031517051446064,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0088,2021_BCDA27_19,2021,BFM-D19 Open twin,BFM-D19,1.7,missing_segment_geometry,False,False,8.27e-13,-12.082494490447454,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0089,2021_BCDA27_19,2021,BFM-D19 Open twin,BFM-D19,0.7,missing_segment_geometry,False,False,2.08e-13,-12.681936665037238,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0090,2021,2021,"BCDA_24 (vertical, 2021)",BCD-A24,0.15,missing_segment_geometry,False,False,1e-13,-13.0,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0091,2021,2021,"BCDA_24 (vertical, 2021)",BCD-A24,0.25,missing_segment_geometry,False,False,5e-14,-13.30102999566398,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0092,2021,2021,"BCDA_24 (vertical, 2021)",BCD-A24,0.35,missing_segment_geometry,False,False,1e-14,-14.0,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0093,2021,2021,"BCDA_24 (vertical, 2021)",BCD-A24,0.45,missing_segment_geometry,False,False,2e-14,-13.69897000433602,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0094,2021,2021,"BCDA_24 (vertical, 2021)",BCD-A24,0.55,missing_segment_geometry,False,False,5e-15,-14.30102999566398,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0095,2021,2021,"BCDA_24 (vertical, 2021)",BCD-A24,0.65,missing_segment_geometry,False,False,1e-16,-16.0,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0096,2021,2021,"BCDA_24 (vertical, 2021)",BCD-A24,0.75,missing_segment_geometry,False,False,5e-17,-16.30102999566398,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0097,2021,2021,"BCDA_24 (vertical, 2021)",BCD-A24,0.85,missing_segment_geometry,False,False,5e-18,-17.30102999566398,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0098,2021,2021,"BCDA_24 (vertical, 2021)",BCD-A24,0.95,missing_segment_geometry,False,False,6e-19,-18.22184874961636,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0099,2021,2021,"BCDA_24 (vertical, 2021)",BCD-A24,1.05,missing_segment_geometry,False,False,5e-15,-14.30102999566398,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0100,2021,2021,"BCDA_24 (vertical, 2021)",BCD-A24,1.15,missing_segment_geometry,False,False,1e-15,-15.0,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0101,2021,2021,"BCDA_24 (vertical, 2021)",BCD-A24,1.25,missing_segment_geometry,False,False,4e-15,-14.397940008672036,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0102,2021,2021,"BCDA_24 (vertical, 2021)",BCD-A24,1.7,missing_segment_geometry,False,False,1e-20,-20.0,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0103,2021,2021,"BCDA_24 (vertical, 2021)",BCD-A24,2.5,missing_segment_geometry,False,False,6e-21,-20.22184874961636,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
