observation_id,source_sheet,campaign_year,block_label,normalized_segment_label,borehole_depth_m,target_status,usable_for_current_ogs_fit,used_in_objective,observed_log10_permeability_m2,predicted_log10_permeability_m2,log10_residual_pred_minus_obs,abs_log10_residual,normalized_residual,objective_weight,duplicate_count,prediction_cell_count,selected_cell_ids,selected_material_ids,support_cell_count,support_cell_ids,support_material_ids,current_log10_prediction_from_cells,configured_scalar_feasible_log10_min,configured_scalar_feasible_log10_max,configured_scalar_min_multiplier_min,configured_scalar_max_multiplier_min,configured_scalar_max_multiplier_max,configured_scalar_feasibility_status,headroom_up_log10_from_current,headroom_down_log10_from_current,residual_band,residual_sign,recommended_next_action
perm_0031,2024_CT,2024,BCDA_34,BCD-A34,0.75,mapped_outside_mesh,False,False,-19.096910013008056,-19.156825219949596,-0.05991520694153962,0.05991520694153962,-0.11983041388307925,0.0,0,1,5828.0,,1.0,5828,0,-19.156825219949596,-21.943149205711865,-12.341089214383903,0.0016355959038180344,6542383.615272138,6542383.615272138,observed_inside_configured_scalar_range,6.815736005565693,2.7863239857622695,abs_lt_0p5_log10,underpredicts_observation,locally_consistent_under_current_log10_sigma
perm_0032,2024_CT,2024,BCDA_34,BCD-A34,0.85,mapped_outside_mesh,False,False,-19.045757490560675,-19.156825219949596,-0.11106772938892107,0.11106772938892107,-0.22213545877784213,0.0,0,1,5828.0,,1.0,5828,0,-19.156825219949596,-21.943149205711865,-12.341089214383903,0.0016355959038180344,6542383.615272138,6542383.615272138,observed_inside_configured_scalar_range,6.815736005565693,2.7863239857622695,abs_lt_0p5_log10,underpredicts_observation,locally_consistent_under_current_log10_sigma
perm_0033,2024_CT,2024,BCDA_34,BCD-A34,0.95,mapped_outside_mesh,False,False,-19.096910013008056,-19.156825219949596,-0.05991520694153962,0.05991520694153962,-0.11983041388307925,0.0,0,1,5828.0,,1.0,5828,0,-19.156825219949596,-21.943149205711865,-12.341089214383903,0.0016355959038180344,6542383.615272138,6542383.615272138,observed_inside_configured_scalar_range,6.815736005565693,2.7863239857622695,abs_lt_0p5_log10,underpredicts_observation,locally_consistent_under_current_log10_sigma
perm_0034,2024_CT,2024,BCDA_34,BCD-A34,1.05,mapped_outside_mesh,False,False,-19.69897000433602,-19.07008544312774,0.6288845612082774,0.6288845612082774,1.2577691224165548,0.0,0,1,7663.0,,1.0,7663,0,-19.07008544312774,-21.943149205711865,-12.341089214383903,0.001339480012173021,5357920.048692085,5357920.048692085,observed_inside_configured_scalar_range,6.7289962287438385,2.873063762584124,abs_0p5_to_1_log10,overpredicts_observation,keep_as_noisy_direct_constraint_with_explicit_sigma
perm_0035,2024_CT,2024,BCDA_34,BCD-A34,1.15,mapped_outside_mesh,False,False,-19.39794000867204,-19.07008544312774,0.3278545655442997,0.3278545655442997,0.6557091310885994,0.0,0,1,7663.0,,1.0,7663,0,-19.07008544312774,-21.943149205711865,-12.341089214383903,0.001339480012173021,5357920.048692085,5357920.048692085,observed_inside_configured_scalar_range,6.7289962287438385,2.873063762584124,abs_lt_0p5_log10,overpredicts_observation,locally_consistent_under_current_log10_sigma
perm_0036,2024_CT,2024,BCDA_34,BCD-A34,1.25,mapped_outside_mesh,False,False,-20.69897000433602,-19.07008544312774,1.6288845612082774,1.6288845612082774,3.257769122416555,0.0,0,1,7663.0,,1.0,7663,0,-19.07008544312774,-21.943149205711865,-12.341089214383903,0.001339480012173021,5357920.048692085,5357920.048692085,observed_inside_configured_scalar_range,6.7289962287438385,2.873063762584124,abs_1_to_2_log10,overpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0037,2024_CT,2024,BCDA_34,BCD-A34,1.7,mapped_outside_mesh,False,False,-20.30102999566398,-19.07008544312774,1.23094455253624,1.23094455253624,2.46188910507248,0.0,0,1,7663.0,,1.0,7663,0,-19.07008544312774,-21.943149205711865,-12.341089214383903,0.001339480012173021,5357920.048692085,5357920.048692085,observed_inside_configured_scalar_range,6.7289962287438385,2.873063762584124,abs_1_to_2_log10,overpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0038,2024_CT,2024,BCDA_34,BCD-A34,2.5,mapped_outside_mesh,False,False,-20.522878745280337,-19.07008544312774,1.452793302152596,1.452793302152596,2.905586604305192,0.0,0,1,7663.0,,1.0,7663,0,-19.07008544312774,-21.943149205711865,-12.341089214383903,0.001339480012173021,5357920.048692085,5357920.048692085,observed_inside_configured_scalar_range,6.7289962287438385,2.873063762584124,abs_1_to_2_log10,overpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0039,2024_CT,2024,BCDA_34,BCD-A34,3.3,mapped_outside_mesh,False,False,-20.522878745280337,-19.85196283200121,0.6709159132791278,0.6709159132791278,1.3418318265582556,0.0,0,1,5631.0,,1.0,5631,0,-19.85196283200121,-21.943149205711865,-12.341089214383903,0.008106131156121526,32424524.62448611,32424524.62448611,observed_inside_configured_scalar_range,7.510873617617307,2.0911863737106557,abs_0p5_to_1_log10,overpredicts_observation,keep_as_noisy_direct_constraint_with_explicit_sigma
perm_0040,2024_CT,2024,BCDA_35,BCD-A35,0.17,mapped_outside_mesh,False,False,-19.39794000867204,-18.898010227571955,0.4999297811000858,0.4999297811000858,0.9998595622001716,0.0,0,1,5763.0,,1.0,5763,0,-18.898010227571955,-21.631372222537173,-12.029312231209211,0.0018477278510350686,7390911.404140271,7390911.404140271,observed_inside_configured_scalar_range,6.868697996362744,2.733361994965218,abs_lt_0p5_log10,overpredicts_observation,locally_consistent_under_current_log10_sigma
perm_0041,2024_CT,2024,BCDA_35,BCD-A35,0.31,mapped_outside_mesh,False,False,-19.096910013008056,-18.898010227571955,0.19889978543610098,0.19889978543610098,0.39779957087220197,0.0,0,1,5763.0,,1.0,5763,0,-18.898010227571955,-21.631372222537173,-12.029312231209211,0.0018477278510350686,7390911.404140271,7390911.404140271,observed_inside_configured_scalar_range,6.868697996362744,2.733361994965218,abs_lt_0p5_log10,overpredicts_observation,locally_consistent_under_current_log10_sigma
perm_0042,2024_CT,2024,BCDA_35,BCD-A35,0.45,mapped_outside_mesh,False,False,-19.096910013008056,-18.898010227571955,0.19889978543610098,0.19889978543610098,0.39779957087220197,0.0,0,1,5763.0,,1.0,5763,0,-18.898010227571955,-21.631372222537173,-12.029312231209211,0.0018477278510350686,7390911.404140271,7390911.404140271,observed_inside_configured_scalar_range,6.868697996362744,2.733361994965218,abs_lt_0p5_log10,overpredicts_observation,locally_consistent_under_current_log10_sigma
perm_0043,2024_CT,2024,BCDA_35,BCD-A35,0.59,mapped_outside_mesh,False,False,-21.0,-18.898010227571955,2.1019897724280447,2.1019897724280447,4.2039795448560895,0.0,0,1,5763.0,,1.0,5763,0,-18.898010227571955,-21.631372222537173,-12.029312231209211,0.0018477278510350686,7390911.404140271,7390911.404140271,observed_inside_configured_scalar_range,6.868697996362744,2.733361994965218,abs_2_to_3_log10,overpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0044,2024_CT,2024,BCDA_35,BCD-A35,0.73,mapped_outside_mesh,False,False,-19.096910013008056,-18.898010227571955,0.19889978543610098,0.19889978543610098,0.39779957087220197,0.0,0,1,5763.0,,1.0,5763,0,-18.898010227571955,-21.631372222537173,-12.029312231209211,0.0018477278510350686,7390911.404140271,7390911.404140271,observed_inside_configured_scalar_range,6.868697996362744,2.733361994965218,abs_lt_0p5_log10,overpredicts_observation,locally_consistent_under_current_log10_sigma
