downloads_path,relative_path,filename,normalized_filename,size_bytes,sha1,catalogue_status,catalogue_sha1_match,matching_catalogue_paths
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_1029_t_88905600.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_1029_t_88905600.000000.vtu,results_cd-a_03_01_ts_1029_t_88905600.000000.vtu,results_cd-a_03_01_ts_1029_t_88905600.000000.vtu,18187995,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_1036_t_89510400.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_1036_t_89510400.000000.vtu,results_cd-a_03_01_ts_1036_t_89510400.000000.vtu,results_cd-a_03_01_ts_1036_t_89510400.000000.vtu,18185591,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_1043_t_90115200.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_1043_t_90115200.000000.vtu,results_cd-a_03_01_ts_1043_t_90115200.000000.vtu,results_cd-a_03_01_ts_1043_t_90115200.000000.vtu,18269115,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_1050_t_90720000.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_1050_t_90720000.000000.vtu,results_cd-a_03_01_ts_1050_t_90720000.000000.vtu,results_cd-a_03_01_ts_1050_t_90720000.000000.vtu,18270715,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_1057_t_91324800.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_1057_t_91324800.000000.vtu,results_cd-a_03_01_ts_1057_t_91324800.000000.vtu,results_cd-a_03_01_ts_1057_t_91324800.000000.vtu,18194179,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_1064_t_91929600.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_1064_t_91929600.000000.vtu,results_cd-a_03_01_ts_1064_t_91929600.000000.vtu,results_cd-a_03_01_ts_1064_t_91929600.000000.vtu,18194559,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_1071_t_92534400.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_1071_t_92534400.000000.vtu,results_cd-a_03_01_ts_1071_t_92534400.000000.vtu,results_cd-a_03_01_ts_1071_t_92534400.000000.vtu,18197507,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_1078_t_93139200.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_1078_t_93139200.000000.vtu,results_cd-a_03_01_ts_1078_t_93139200.000000.vtu,results_cd-a_03_01_ts_1078_t_93139200.000000.vtu,18199855,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_1085_t_93744000.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_1085_t_93744000.000000.vtu,results_cd-a_03_01_ts_1085_t_93744000.000000.vtu,results_cd-a_03_01_ts_1085_t_93744000.000000.vtu,18205743,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_1092_t_94348800.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_1092_t_94348800.000000.vtu,results_cd-a_03_01_ts_1092_t_94348800.000000.vtu,results_cd-a_03_01_ts_1092_t_94348800.000000.vtu,18208531,,downloads_relevant_name_candidate,,
