run_id,rank,cell_id,centroid_x_m,centroid_y_m,cell_area_m2,reference_log10_k_geom,candidate_log10_k_geom,delta_log10_k_geom,abs_delta_log10_k_geom,reference_log10_k_min,candidate_log10_k_min,reference_log10_k_max,candidate_log10_k_max,relative_tensor_frobenius
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,24,10210,-1.0230828296512806,1.0080078158913146,0.0008046584903932341,-19.352704965609465,-19.352704965609465,0.0,0.0,-19.551674969945484,-19.551674969945484,-19.153734961273447,-19.153734961273447,0.0
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,25,10209,1.3361805310104067,-0.314186989683344,0.0005457571758074747,-19.44331231302891,-19.44331231302891,0.0,0.0,-19.642282317364927,-19.642282317364927,-19.24434230869289,-19.24434230869289,0.0
local_bracketed_003_length_0p031m,1,4977,-1.6162639276265933,-0.623913541794392,0.002317399843773364,-19.15394600094654,-13.349819746689658,5.804126254256882,5.804126254256882,-19.35291600528256,-13.548789751025677,-18.95497599661052,-13.150849742353639,636979.6713900892
local_bracketed_003_length_0p031m,2,5131,-1.6537774273261532,-0.641883974532814,0.0030784649020982923,-19.161984156084163,-13.35785790182728,5.804126254256882,5.804126254256882,-19.36095416042018,-13.5568279061633,-18.963014151748144,-13.158887897491262,636979.6713900893
local_bracketed_003_length_0p031m,3,9150,-1.6926256888715068,-0.6085221886134483,0.0029565069233257464,-19.16288630402443,-13.358760049767548,5.804126254256881,5.804126254256881,-19.361856308360448,-13.557730054103567,-18.96391629968841,-13.15979004543153,636979.6713900893
local_bracketed_003_length_0p031m,4,8349,-1.6755501732614568,-0.489238096054529,0.003096660060516067,-19.14690556820178,-13.3427793139449,5.804126254256881,5.804126254256881,-19.3458755725378,-13.54174931828092,-18.947935563865762,-13.143809309608882,636979.6713900893
local_bracketed_003_length_0p031m,5,3541,-1.68127498726719,-0.5661356956472403,0.002578805321418192,-19.156802443715176,-13.352676189458295,5.804126254256881,5.804126254256881,-19.355772448051194,-13.551646193794314,-18.957832439379157,-13.153706185122276,636979.6713900892
local_bracketed_003_length_0p031m,6,8347,-1.7091873916729632,-0.5265266084960747,0.0031820257778288033,-19.156413289681844,-13.352287035424965,5.804126254256879,5.804126254256879,-19.355383294017866,-13.551257039760984,-18.957443285345825,-13.153317031088946,636979.6713900891
local_bracketed_003_length_0p031m,7,8058,-1.6123045437277934,-0.579365793549156,0.0017917688654833916,-19.14693272177644,-14.020695081905572,5.126237639870869,5.126237639870869,-19.34590272611246,-14.21966508624159,-18.947962717440422,-13.821725077569553,133731.7083066288
local_bracketed_003_length_0p031m,8,8348,-1.63197475497348,-0.5106569267206214,0.0023413993708968172,-19.14105185310187,-14.026855920400807,5.1141959327010635,5.1141959327010635,-19.34002185743789,-14.225825924736826,-18.942081848765852,-13.827885916064789,130074.62841071945
local_bracketed_003_length_0p031m,9,6198,0.6287262785885496,-1.7462899105350067,0.004416025866899624,-19.29127872402843,-14.61799482569384,4.67328389833459,4.67328389833459,-19.49024872836445,-14.816964830029859,-19.09230871969241,-14.419024821357821,47127.53049615082
local_bracketed_003_length_0p031m,10,6658,0.6466628026535397,-2.0684455394240366,0.005153505424067849,-19.407119114703523,-14.811690167905219,4.595428946798304,4.595428946798304,-19.60608911903954,-15.010660172241238,-19.208149110367504,-14.6127201635692,39392.897157585285
local_bracketed_003_length_0p031m,11,9460,0.529363291264676,-1.7616537065994,0.004525716099736315,-19.295234448900278,-14.935892245338527,4.35934220356175,4.35934220356175,-19.494204453236296,-15.134862249674546,-19.09626444456426,-14.736922241002508,22873.004571139227
local_bracketed_003_length_0p031m,12,7685,-1.98807502023591,-0.7233939687865404,0.005277810143918523,-19.162724784411335,-15.562398197163713,3.600326587247622,3.600326587247622,-19.361694788747354,-15.761368201499732,-18.963754780075316,-15.363428192827694,3983.0665771883
local_bracketed_003_length_0p031m,13,9620,0.4101891645411757,-1.44424012481654,0.0016642032437096765,-19.090103384039534,-16.232495250797225,2.8576081332423087,2.8576081332423087,-19.289073388375552,-16.431465255133244,-18.891133379703515,-16.033525246461206,719.4571126369136
local_bracketed_003_length_0p031m,14,6434,0.5402703815395747,-1.3630394267371837,0.0009440362818185257,-19.041694624357092,-16.184086491114783,2.8576081332423087,2.8576081332423087,-19.24066462869311,-16.383056495450802,-18.842724620021073,-15.985116486778763,719.4571126369136
local_bracketed_003_length_0p031m,15,3762,0.548121974619463,-1.4135113688792333,0.001031324704762304,-19.075149635121537,-16.21754150187923,2.8576081332423087,2.8576081332423087,-19.274119639457556,-16.416511506215247,-18.87617963078552,-16.01857149754321,719.4571126369134
local_bracketed_003_length_0p031m,16,6438,0.557527790534318,-1.3858112906369333,0.0011626454311589748,-19.057232728431448,-16.19962459518914,2.8576081332423087,2.8576081332423087,-19.256202732767466,-16.398594599525158,-18.85826272409543,-16.00065459085312,719.4571126369142
local_bracketed_003_length_0p031m,17,3764,0.518497009009403,-1.4157060161226298,0.0012012252911705673,-19.075439303064094,-16.217831169821785,2.8576081332423087,2.8576081332423087,-19.274409307400113,-16.416801174157804,-18.876469298728075,-16.018861165485767,719.4571126369135
local_bracketed_003_length_0p031m,18,7000,0.459176953254458,-1.4200119085870666,0.0010757659748641942,-19.076087677310873,-16.284478058426497,2.791609618884376,2.791609618884376,-19.275057681646892,-16.483448062762516,-18.877117672974855,-16.08550805409048,617.8845185070793
local_bracketed_003_length_0p031m,19,3653,0.501145937512898,-1.3934652152154232,0.0010095123815512484,-19.060096974501388,-16.30107027456726,2.759026699934129,2.759026699934129,-19.259066978837406,-16.500040278903278,-18.86112697016537,-16.10210027023124,573.1517593238527
local_bracketed_003_length_0p031m,20,821,-1.2754392412470468,-0.4048643300267843,0.0006219571155422926,-18.995104911292064,-16.29802041468568,2.697084496606383,2.697084496606383,-19.194074915628082,-16.4969904190217,-18.796134906956045,-16.099050410349662,496.8339344391455
local_bracketed_003_length_0p031m,21,2926,-1.2669033101781466,-0.44126878716084966,0.00045671243429819264,-19.00148503331761,-16.304400536711228,2.697084496606383,2.697084496606383,-19.20045503765363,-16.503370541047246,-18.802515028981592,-16.10543053237521,496.8339344391456
local_bracketed_003_length_0p031m,22,1708,-1.24307761093156,-0.4238890882243467,0.00048750704610217945,-18.983453035901782,-16.2863685392954,2.697084496606383,2.697084496606383,-19.1824230402378,-16.485338543631418,-18.784483031565763,-16.08739853495938,496.83393443914554
